Approved,Approuvé
"Back to CMS","Retour au CMS"
"Back to list","Retour à la liste"
"Block Id","Identifiant de bloc"
Blocks,Blocs
"Categories: bottom","Catégories : bas"
"Categories: middle","Catégories : milieu"
"Categories: top","Catégories : haut"
"Category list","Liste de catégories"
"CMS Block","Bloc CMS"
"CMS Block was created successfully.","Le bloc CMS a été créé avec succès."
"CMS Block was deactivated successfully.","Le bloc CMS a été désactivé avec succès."
"CMS Block was updated successfully.","Le bloc CMS a été mis à jour avec succès."
Content,Contenu
"Create block","Créer un bloc"
"Create CMS Block","Créer un bloc CMS"
"Edit block","Modifier le bloc"
"Edit Block Glossary:","Modifier le glossaire du bloc :"
"Edit CMS Block:","Modifier le bloc CMS :"
"Edit placeholders","Modifier les espaces réservés"
"Invalid data provided.","Données invalides fournies."
"Is active:","Est actif :"
"List of CMS blocks","Liste des blocs CMS"
"Missing placeholders for selected template.","Espaces réservés manquants pour le modèle sélectionné."
n/a,n/a
Name,Nom
no,Non
"Overview of CMS Blocks","Aperçu des blocs CMS"
"Placeholder translations successfully updated.","Traductions des espaces réservés mises à jour avec succès."
"Product list","Liste de produits"
Sales,Ventes
Save,Enregistrer
"Selected template doesn't exist anymore","Le modèle sélectionné n'existe plus"
"Selected template doesn't exist anymore.","Le modèle sélectionné n'existe plus."
"Store relation","Relation de magasin"
Template,Modèle
Template:,"Modèle :"
"Translation key:","Clé de traduction :"
"Valid from","Valide à partir de"
"Valid from:","Valide à partir de (inclus)"
"Valid to","Valable jusqu'à"
"Valid to:","Valable jusqu'à (exclu) :"
"View CMS Block:","Voir le bloc CMS :"
yes,Oui
"Create new CMS Block","Créer un nouveau bloc CMS"
"CMS content widgets usage information","Informations sur l'utilisation des widgets de contenu CMS"
"CMS Block was activated successfully.","Le bloc CMS a été activé avec succès."
"Edit Placeholder","Modifier l'espace réservé"
"Edit Block","Modifier le bloc"
"Edit CMS Block Glossary","Modifier le glossaire du bloc CMS"
