"Custom CSS class","Classe CSS personalizzata"
"Date ""Valid from"" cannot be later than ""Valid to"".","La data ""Valida da"" non può essere successiva a ""Valida fino a""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","La data ""Valida fino a"" non può essere precedente a ""Valida da""."
"Edit Navigation Element: ","Modifica elemento di navigazione:"
"External URL","URL esterno"
"If a navigation node is inactive, then this item and all navigation items under this one will not be visible.","Se un nodo di navigazione è inattivo, questo elemento e tutti gli elementi di navigazione sotto di esso non saranno visibili."
"Incorrect request data.","Dati della richiesta non corretti."
"Links should start with ""/"".","I link devono iniziare con ""/""."
"List of navigation elements","Elenco degli elementi di navigazione"
Navigation,Navigazione
"Navigation element %d was activated successfully.","L'elemento di navigazione %d è stato attivato con successo."
"Navigation element %d was created successfully.","L'elemento di navigazione %d è stato creato con successo."
"Navigation element %d was deactivated successfully.","L'elemento di navigazione %d è stato disattivato con successo."
"Navigation element %d was deleted successfully.","L'elemento di navigazione %d è stato eliminato con successo."
"Navigation element %d was not found.","L'elemento di navigazione %d non è stato trovato."
"Navigation element %d was updated successfully.","L'elemento di navigazione %d è stato aggiornato con successo."
"Navigation element details","Dettagli dell'elemento di navigazione"
"Navigation node ""%s"" was created successfully.","Il nodo di navigazione ""%s"" è stato creato con successo."
"Navigation node ""%s"" was deleted successfully.","Il nodo di navigazione ""%s"" è stato eliminato con successo."
"Navigation node ""%s"" was updated successfully.","Il nodo di navigazione ""%s"" è stato aggiornato con successo."
"Navigation tree updated successfully.","Albero di navigazione aggiornato con successo."
"Navigation with id %s doesn't exist","La navigazione con id %s non esiste"
"Navigation with the same key already exists.","Esiste già una navigazione con la stessa chiave."
"This value is not a valid category URL for the given locale.","Questo valore non è un URL di categoria valido per la lingua specificata."
"This value is not a valid CMS page URL for the given locale.","Questo valore non è un URL di pagina CMS valido per la lingua specificata."
"Type 3 letters to search by category name.","Digita 3 lettere per cercare per nome di categoria."
"Type 3 letters to search by CMS page name.","Digita 3 lettere per cercare per nome di pagina CMS."
"You can drag and drop to define item order.","Puoi trascinare e rilasciare per definire l'ordine degli elementi."
