"Abstract Product List","Abstract Product List"
Actions,Actions
Active,Actief
"Add more products","Meer producten toevoegen"
"Add to list","Toevoegen aan lijst"
content_product_abstract_list.template.bottom-title,"Ondertitel onderaan"
content_product_abstract_list.template.default,Standaard
content_product_abstract_list.template.top-title,"Titel bovenaan"
Delete,Verwijderen
ID,ID
Image,Afbeelding
Inactive,Inactief
"Move Down","Naar beneden verplaatsen"
"Move Up","Naar boven verplaatsen"
Name,Naam
Selected,Geselecteerd
SKU,SKU
Status,Status
Stores,Winkels
