"A customer can not be assigned to multiple users at a time.",一个客户不能同时分配给多个用户。
Assign,分配
"Assign Customers",分配客户
"Assign Customers to User:",将客户分配给用户：
Assigned,已分配
"Assigned Zed User Reference","已分配的 Zed 用户参考"
"Customer E-mail",客户电子邮件
"Customer-user connections are updated.",客户-用户连接已更新。
"Customers to be assigned",将要分配的客户
"Deselected customers",取消选择的客户
Female,女性
"List Users",用户列表
Male,男性
Save,保存
"Select customers to assign",选择要分配的客户
"User couldn't be found",找不到用户
"Your unsaved modification will be lost, are you sure to continue?",您的未保存修改将丢失，确定要继续吗？
"Customers to be deassigned",将要取消分配的客户
"List of customers",客户列表
"Selected customers",已选择的客户
