"# of Other Labels","# of Other Labels"
"# of Products","# of Products"
Activate,Activer
Active,Actif
"Applied Products","Produits appliqués"
"Are you sure you want to delete this product label?","Êtes-vous sûr de vouloir supprimer cette étiquette de produit ?"
"Assigned products","Produits assignés"
"Available products","Produits disponibles"
"Back to Product Labels","Retour aux étiquettes de produit"
Behavior,Comportement
Categories,Catégories
"Create a Product Label","Créer une étiquette de produit"
"Create Product Label","Créer une étiquette de produit"
"De-select all","Désélectionner tout"
Deactivated,Désactivé
"Delete Product Label","Supprimer l'étiquette de produit"
Delete,Supprimer
"Edit Product Label","Modifier l'étiquette de produit"
Edit,Modifier
"Front-end Reference","Référence frontale"
General,Général
ID,ID
"Is Active","Est actif"
"Is Dynamic","Est dynamique"
"Is Exclusive","Est exclusif"
"List of Product Labels","Liste des étiquettes de produit"
"Missing or wrong request data","Données de demande manquantes ou incorrectes"
N/A,N/A
Name,Nom
"No, I want to keep this product label","Non, je veux garder cette étiquette de produit"
No,Non
"Overview of Product Labels","Aperçu des étiquettes de produit"
"Prioritize Product Labels","Prioriser les étiquettes de produit"
Priority,Priorité
"Product label #%d successfully updated.","L'étiquette de produit #%d a été mise à jour avec succès."
"Product label #%d was successfully deleted.","L'étiquette de produit #%d a été supprimée avec succès."
"Product label priority updated successfully.","La priorité de l'étiquette de produit a été mise à jour avec succès."
"Product label removal confirmation","Confirmation de suppression de l'étiquette de produit"
"Product Labels","Étiquettes de produit"
"Products Applied to","Produits appliqués"
"Products for this label are assigned dynamically, you can't manage relations manually.","Les produits de cette étiquette sont assignés dynamiquement, vous ne pouvez pas gérer les relations manuellement."
"Products to which this label applies","Produits auxquels cette étiquette s'applique"
Save,Enregistrer
"Select all","Tout sélectionner"
"Selected products to assign","Produits sélectionnés à assigner"
"Selected products to de-assign","Produits sélectionnés à désassigner"
Settings,Paramètres
Status,Statut
"Store relation","Relation de magasin"
Stores,Magasins
Translations,Traductions
"This product has already assigned to the given label","Ce produit a déjà été assigné à l'étiquette donnée"
"This product has not been assigned to the given label","Ce produit n'a pas été assigné à l'étiquette donnée"
"Valid from","Valide à partir de"
"Valid to","Valide jusqu'à"
Validity,Validité
"View Product Label","Voir l'étiquette du produit"
View,Voir
"Yes, delete this product label","Oui, supprimer cette étiquette de produit"
Yes,Oui
"Product label #%d successfully created.","Étiquette de produit #%d créée avec succès."
"Number of Products","# de produits"
