"Back to Translations","Volver a Traducciones"
"Create Translation","Crear Traducción"
"Edit Translation","Editar Traducción"
Glossary,Glosario
"Glossary entry was not updated.","La entrada del glosario no se actualizó."
"Glossary with id %s doesn't exist","La entrada del glosario %s no existe."
"List of translations","Lista de traducciones"
"Overview of Translations","Resumen de Traducciones"
Save,Guardar
"Translation %d was created successfully.","La traducción %d se creó correctamente."
"Translation %d was updated successfully.","La traducción %d se actualizó correctamente."
"Translation details","Detalles de la traducción"
