"Add Customer Group","إضافة مجموعة عملاء"
"Assigned customers","العملاء المعينين"
"Available customers","العملاء المتاحين"
"Back to Customer Groups","العودة إلى مجموعات العملاء"
"Customer Groups","مجموعات العملاء"
"Customer group was created successfully.","تم إنشاء مجموعة العملاء بنجاح."
"Customer group was updated successfully.","تم تحديث مجموعة العملاء بنجاح."
"De-select all","إلغاء تحديد الكل"
"Delete Customer Group","حذف مجموعة العملاء"
Description,الوصف
"Edit Customer Group","تعديل مجموعة العملاء"
"List Customer Groups","قائمة مجموعات العملاء"
Save,حفظ
"Select all","تحديد الكل"
"Selected customers to assign","العملاء المحددين للتعيين"
"Selected customers to de-assign","العملاء المحددين لإلغاء التعيين"
"View Customer Group","عرض مجموعة العملاء"
"Customer groups","مجموعات العملاء"
"Add a customer group","إضافة مجموعة عملاء"
Select,تحديد
