"Add Company Business Unit","Ajouter une unité opérationnelle de l'entreprise"
"Back to Company Business Units","Retour aux unités opérationnelles de l'entreprise"
"BU Name","Nom de l'unité opérationnelle"
"BU Parent","Unité opérationnelle parente"
"Company Business Unit","Unité opérationnelle de l'entreprise"
"Company Business Unit ""%s"" has been created.","L'unité opérationnelle de l'entreprise ""%s"" a été créée."
"Company Business Unit ""%s"" has been updated.","L'unité opérationnelle de l'entreprise ""%s"" a été mise à jour."
"Company Business Unit ""%s"" has not been created.","L'unité opérationnelle de l'entreprise ""%s"" n'a pas été créée."
"Company Business Unit ""%s"" has not been updated. A Business Unit cannot be set as a child to an own child Business Unit, please check the Business Unit hierarchy.","L'unité opérationnelle de l'entreprise ""%s"" n'a pas été mise à jour. Une unité opérationnelle ne peut pas être définie comme enfant d'une autre unité opérationnelle enfant, veuillez vérifier la hiérarchie des unités opérationnelles."
"Company Business Unit ""%s"" was deleted.","L'unité opérationnelle de l'entreprise ""%s"" a été supprimée."
"Company name","Nom de l'entreprise"
"Company Units","Unités de l'entreprise"
"Create Company Business Unit","Créer une unité opérationnelle de l'entreprise"
"Edit Company Business Unit","Modifier une unité opérationnelle de l'entreprise"
"List of Company Business Units","Liste des unités opérationnelles de l'entreprise"
"No parent","Aucun parent"
"Overview of Company Business Units","Aperçu des unités opérationnelles de l'entreprise"
Parent,Parent
Save,Enregistrer
"Select one","Sélectionner une"
"You can not delete a business unit ""%s"" while it contains user","Vous ne pouvez pas supprimer une unité opérationnelle ""%s"" tant qu'elle contient des utilisateurs"
Address,Adresse
"Business Units","Unités opérationnelles"
"Business Unit","Unité opérationnelle"
"Business Unit name","Nom de l'unité opérationnelle"
