Approved,Aprobado
"Back to CMS","Volver al CMS"
"Back to list","Volver a la lista"
"Block Id","ID de bloque"
Blocks,Bloques
"Categories: bottom","Categorías: inferior"
"Categories: middle","Categorías: media"
"Categories: top","Categorías: superior"
"Category list","Lista de categorías"
"CMS Block","Bloque CMS"
"CMS Block was created successfully.","El bloque CMS se creó correctamente."
"CMS Block was deactivated successfully.","El bloque CMS se desactivó correctamente."
"CMS Block was updated successfully.","El bloque CMS se actualizó correctamente."
Content,Contenido
"Create block","Crear bloque"
"Create CMS Block","Crear bloque CMS"
"Edit block","Editar bloque"
"Edit Block Glossary:","Editar glosario de bloques:"
"Edit CMS Block:","Editar bloque CMS:"
"Edit placeholders","Editar marcadores de posición"
"Invalid data provided.","Datos no válidos proporcionados."
"Is active:","¿Está activo?"
"List of CMS blocks","Lista de bloques CMS"
"Missing placeholders for selected template.","Faltan marcadores de posición para la plantilla seleccionada."
n/a,n/a
Name,Nombre
no,No
"Overview of CMS Blocks","Resumen de bloques CMS"
"Placeholder translations successfully updated.","Las traducciones de marcadores de posición se actualizaron correctamente."
"Product list","Lista de productos"
Sales,Ventas
Save,Guardar
"Selected template doesn't exist anymore","La plantilla seleccionada ya no existe"
"Selected template doesn't exist anymore.","La plantilla seleccionada ya no existe."
"Store relation","Relación de tienda"
Template,Plantilla
Template:,Plantilla:
"Translation key:","Clave de traducción:"
"Valid from","Válido desde"
"Valid from:","Válido desde (incluido):"
"Valid to","Válido hasta"
"Valid to:","Válido hasta (excluido):"
"View CMS Block:","Ver bloque CMS:"
yes,Sí
"Create new CMS Block","Crear nuevo bloque CMS"
"CMS content widgets usage information","Información sobre el uso de widgets de contenido CMS"
"CMS Block was activated successfully.","El bloque CMS se activó correctamente."
"Edit Placeholder","Editar marcador de posición"
"Edit Block","Editar bloque"
"Edit CMS Block Glossary","Editar glosario de bloque CMS"
