Activate,تفعيل
"Add a Cms block","إضافة كتلة CMS"
"Add a Cms page","إضافة صفحة CMS"
"Add CMS Block","إضافة كتلة CMS"
"Add CMS Page","إضافة صفحة CMS"
"Add CMS Redirect","إضافة إعادة توجيه CMS"
"Back to CMS","العودة إلى CMS"
"CMS blocks","كتل CMS"
Deactivate,"إلغاء التفعيل"
"Delete CMS Block","حذف كتلة CMS"
"Delete CMS Page","حذف صفحة CMS"
"Edit a Cms Block","تحرير كتلة CMS"
"Edit a Cms page","تحرير صفحة CMS"
"From Url","من عنوان URL"
"ID redirect URL is not set.","لم يتم تعيين معرف URL لإعادة التوجيه."
Loading...,"جارٍ التحميل..."
"New template(s) detected and added to the template list.","تم اكتشاف قوالب جديدة وإضافتها إلى قائمة القوالب."
"Redirect status code","كود حالة إعادة التوجيه"
"Redirect was created successfully.","تم إنشاء إعادة التوجيه بنجاح."
"Redirect was deleted successfully.","تم حذف إعادة التوجيه بنجاح."
"Redirect was updated successfully.","تم تحديث إعادة التوجيه بنجاح."
Redirects,"إعادة التوجيه"
Save,حفظ
"Save All","حفظ الكل"
"To Url","إلى عنوان URL"
"URL is already used.","تم استخدام العنوان URL بالفعل."
"URL must start with a slash","يجب أن يبدأ العنوان URL بشرطة مائلة"
"Create new CMS Redirect","إنشاء إعادة توجيه جديدة لنظام إدارة المحتوى"
"Please select","يرجى التحديد"
"Edit CMS Redirect","تحرير إعادة توجيه نظام إدارة المحتوى"
"URL's second character cannot be slash","لا يمكن أن يكون الحرف الثاني في الرابط عبارة عن شرطة"
"URL cannot contain backslash sign, you can use '%5C' instead","لا يمكن أن يحتوي الرابط على علامة الشرطة العكسية، يمكنك استخدام '%5C' بدلاً من ذلك"
