Approved,Approvato
"Back to CMS","Torna a CMS"
"Back to list","Torna alla lista"
"Block Id","ID blocco"
Blocks,Blocchi
"Categories: bottom","Categorie: in basso"
"Categories: middle","Categorie: in mezzo"
"Categories: top","Categorie: in alto"
"Category list","Lista categorie"
"CMS Block","Blocco CMS"
"CMS Block was created successfully.","Il blocco CMS è stato creato con successo."
"CMS Block was deactivated successfully.","Il blocco CMS è stato disattivato con successo."
"CMS Block was updated successfully.","Il blocco CMS è stato aggiornato con successo."
Content,Contenuto
"Create block","Crea blocco"
"Create CMS Block","Crea blocco CMS"
"Edit block","Modifica blocco"
"Edit Block Glossary:","Modifica Glossario Blocco:"
"Edit CMS Block:","Modifica blocco CMS:"
"Edit placeholders","Modifica segnaposto"
"Invalid data provided.","Dati forniti non validi."
"Is active:","È attivo:"
"List of CMS blocks","Elenco blocchi CMS"
"Missing placeholders for selected template.","Segnaposti mancanti per il template selezionato."
n/a,n/a
Name,Nome
no,No
"Overview of CMS Blocks","Panoramica dei blocchi CMS"
"Placeholder translations successfully updated.","Traduzione segnaposti aggiornata con successo."
"Product list","Elenco prodotti"
Sales,Vendite
Save,Salva
"Selected template doesn't exist anymore","Il template selezionato non esiste più"
"Selected template doesn't exist anymore.","Il template selezionato non esiste più."
"Store relation","Relazione con il negozio"
Template,Template
Template:,Template:
"Translation key:","Chiave di traduzione:"
"Valid from","Valido dal"
"Valid from:","Valido dal (incluso):"
"Valid to","Valido fino a"
"Valid to:","Valido fino a (escluso):"
"View CMS Block:","Visualizza Blocco CMS:"
yes,Sì
"Create new CMS Block","Crea nuovo Blocco CMS"
"CMS content widgets usage information","Informazioni sull'uso dei widget di contenuto CMS"
"CMS Block was activated successfully.","Blocco CMS attivato con successo."
"Edit Placeholder","Modifica segnaposto"
"Edit Block","Modifica blocco"
"Edit CMS Block Glossary","Modifica Glossario Blocco CMS"
