"Custom CSS class","فئة CSS المخصصة"
"Date ""Valid from"" cannot be later than ""Valid to"".","لا يمكن أن يكون تاريخ ""صالح من"" في وقت لاحق من ""صالح إلى""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","لا يمكن أن يكون تاريخ ""صالح إلى"" في وقت سابق من ""صالح من""."
"Edit Navigation Element: ","تحرير عنصر التنقل:"
"External URL","عنوان URL الخارجي"
"If a navigation node is inactive, then this item and all navigation items under this one will not be visible.","إذا كانت عقدة التنقل غير نشطة ، فلن يكون هذا العنصر وجميع عناصر التنقل تحت هذا العنصر مرئية."
"Incorrect request data.","بيانات الطلب غير صحيحة."
"Links should start with ""/"".","يجب أن تبدأ الروابط بـ ""/""."
"List of navigation elements","قائمة عناصر التنقل"
Navigation,التنقل
"Navigation element %d was activated successfully.","تم تنشيط عنصر التنقل %d بنجاح."
"Navigation element %d was created successfully.","تم إنشاء عنصر التنقل %d بنجاح."
"Navigation element %d was deactivated successfully.","تم إلغاء تنشيط عنصر التنقل %d بنجاح."
"Navigation element %d was deleted successfully.","تم حذف عنصر التنقل %d بنجاح."
"Navigation element %d was not found.","لم يتم العثور على عنصر التنقل %d."
"Navigation element %d was updated successfully.","تم تحديث عنصر التنقل %d بنجاح."
"Navigation element details","تفاصيل عنصر التنقل"
"Navigation node ""%s"" was created successfully.","تم إنشاء عقدة التنقل ""%s"" بنجاح."
"Navigation node ""%s"" was deleted successfully.","تم حذف عقدة التنقل ""%s"" بنجاح."
"Navigation node ""%s"" was updated successfully.","تم تحديث عقدة التنقل ""%s"" بنجاح."
"Navigation tree updated successfully.","تم تحديث شجرة التنقل بنجاح."
"Navigation with id %s doesn't exist","التنقل بالمعرف %s غير موجود"
"Navigation with the same key already exists.","التنقل بنفس المفتاح موجود بالفعل."
"This value is not a valid category URL for the given locale.","هذه القيمة ليست عنوان URL صالح للفئة المحددة."
"This value is not a valid CMS page URL for the given locale.","هذه القيمة ليست عنوان URL صفحة CMS صالح للغة المحددة."
"Type 3 letters to search by category name.","اكتب 3 أحرف للبحث حسب اسم الفئة."
"Type 3 letters to search by CMS page name.","اكتب 3 أحرف للبحث حسب اسم صفحة CMS."
"You can drag and drop to define item order.","يمكنك سحب وإسقاط لتحديد ترتيب العنصر."
