"Back to Translations","العودة إلى الترجمات"
"Create Translation","إنشاء ترجمة"
"Edit Translation","تحرير الترجمة"
Glossary,معجم
"Glossary entry was not updated.","لم يتم تحديث مدخل المعجم."
"Glossary with id %s doesn't exist","مدخل المعجم %s غير موجود"
"List of translations","قائمة الترجمات"
"Overview of Translations","نظرة عامة على الترجمات"
Save,حفظ
"Translation %d was created successfully.","تم إنشاء الترجمة %d بنجاح."
"Translation %d was updated successfully.","تم تحديث الترجمة %d بنجاح."
"Translation details","تفاصيل الترجمة"
