"Add note","Notitie toevoegen"
"Days left:","Dagen over:"
Discontinue,Stoppen
Discontinued,Stopgezet
Restore,Herstellen
"Will be deactivated on:","Wordt gedeactiveerd op:"
"Discontinue Product","Product stopzetten"
"You can discontinue a product on this tab and add a note - why this product is discontinued.","U kunt een product stopzetten op dit tabblad en een notitie toevoegen - waarom dit product is stopgezet."
"Note: Discontinued products will still be visible in the shop and have stock, but it will not be possible to buy it.","Opmerking: Stopgezette producten blijven zichtbaar in de winkel en hebben voorraad, maar het is niet mogelijk om ze te kopen."
"Product has been marked as discontinued.","Product is gemarkeerd als stopgezet."
"Product has been unmarked as discontinued.","Product is niet langer gemarkeerd als stopgezet."
