"Back to Translations","Torna alle Traduzioni"
"Create Translation","Crea Traduzione"
"Edit Translation","Modifica Traduzione"
Glossary,Glossario
"Glossary entry was not updated.","L'entrata del Glossario non è stata aggiornata."
"Glossary with id %s doesn't exist","L'entrata del Glossario %s non esiste."
"List of translations","Elenco delle traduzioni"
"Overview of Translations","Panoramica delle Traduzioni"
Save,Salva
"Translation %d was created successfully.","La Traduzione %d è stata creata con successo."
"Translation %d was updated successfully.","La Traduzione %d è stata aggiornata con successo."
"Translation details","Dettagli della Traduzione"
