"Add a Dataset","Voeg een dataset toe"
"Add Dataset","Dataset toevoegen"
"Back to Dataset list","Terug naar de lijst met datasets"
"Content file",Inhoudsbestand
Dataset,Dataset
"Dataset was activated successfully.","Dataset is succesvol geactiveerd."
"Dataset was deactivated successfully.","Dataset is succesvol gedeactiveerd."
"Edit Dataset","Bewerk dataset"
Save,Opslaan
"Something wrong","Er is iets misgegaan"
"No file selected.","Geen bestand geselecteerd."
"Datasets list","Lijst met datasets"
