"Add Company Unit Address",添加业务单元地址
"Addition to address",地址附加
"Back to Company Unit Addresses",返回公司单元地址
"Company Unit Address",业务单元地址
"Company unit address create failed.",公司单元地址创建失败。
"Company unit address has been successfully created.",公司单元地址已成功创建。
"Company unit address has been successfully updated.",公司单元地址已成功更新。
"Company Unit Address Id",公司单元地址ID
"Company unit address update failed.",公司单元地址更新失败。
"Company Unit Addresses",公司单元地址
"Create Company Unit Address",创建公司单元地址
"Edit Company Unit Address:",编辑业务单元地址：
"Edit Company Unit Address",编辑业务单元地址
"List of Company Unit Addresses",业务单元地址列表
Number,号码
"Overview of Company Unit Addresses",业务单元地址概述
Save,保存
Street,街道
Zipcode,邮政编码
