"A customer can not be assigned to multiple users at a time.","Um cliente não pode ser atribuído a vários usuários ao mesmo tempo."
Assign,Atribuir
"Assign Customers","Atribuir Clientes"
"Assign Customers to User:","Atribuir Clientes ao Usuário:"
Assigned,Atribuído
"Assigned Zed User Reference","Referência de Usuário Zed Atribuída"
"Customer E-mail","E-mail do Cliente"
"Customer-user connections are updated.","As conexões cliente-usuário foram atualizadas."
"Customers to be assigned","Clientes a serem atribuídos"
"Deselected customers","Clientes desmarcados"
Female,Feminino
"List Users","Lista de usuários"
Male,Masculino
Save,Salvar
"Select customers to assign","Selecionar clientes para atribuir"
"User couldn't be found","Usuário não pôde ser encontrado"
"Your unsaved modification will be lost, are you sure to continue?","Suas modificações não salvas serão perdidas, tem certeza de que deseja continuar?"
"Customers to be deassigned","Clientes a serem desatribuídos"
"List of customers","Lista de clientes"
"Selected customers","Clientes selecionados"
