Actions,Ações
"Add list","Adicionar lista"
"Are you sure you want to remove this list? Removing this list will also remove all associated functionalities.","Tem certeza de que deseja remover esta lista? A remoção desta lista também removerá todas as funcionalidades associadas."
"Assign Categories","Atribuir categorias"
"Assign Products","Atribuir produtos"
Back,Voltar
"Back to Product Lists","Voltar para listas de produtos"
Blacklist,"Lista negra"
"Business Unit Owner Name","Nome do proprietário da unidade de negócios"
Cancel,Cancelar
"Confirm action","Confirmar ação"
"Create a Product List","Criar uma lista de produtos"
"Edit List","Editar lista"
"Edit Product List","Editar lista de produtos"
Export,Exportar
ID,ID
"ID Merchant Relation","Relação de ID do comerciante"
"Import Product List","Importar lista de produtos"
"List of Product lists","Lista de listas de produtos"
"Merchant Name","Nome do comerciante"
"Merchant relationship","Relação do comerciante"
Name,Nome
"Overview of Product lists","Visão geral das listas de produtos"
"Owner Type","Tipo de proprietário"
"Please ensure you saved information","Por favor, certifique-se de que salvou as informações"
"Product label #%d successfully created.","Rótulo do produto #%d criado com sucesso."
"Product List ""%s"" has been successfully created.","A lista de produtos ""%s"" foi criada com sucesso."
"Product List ""%s"" has been successfully updated.","A lista de produtos ""%s"" foi atualizada com sucesso."
"Product List has been successfully removed.","A lista de produtos foi removida com sucesso."
"Product List removal confirmation","A lista de produtos foi removida com sucesso"
"Product Lists","Listas de produtos"
"Products in this list","Produtos nesta lista"
"Remove List","Remover lista"
Save,Salvar
"Select Products to assign","Selecionar produtos para atribuir"
Selected,Selecionado
SKU,SKU
Title,Título
Type,Tipo
"Used By","Usado por"
Whitelist,Whitelist
Сonfirm,Сonfirm
"Add List","Add List"
