"Abstract product availability","Disponibilidad abstracta del producto"
Actions,Acciones
Availability,Disponibilidad
"Availability information for selected product - store pair does not exist.","No existe información de disponibilidad para el par seleccionado (producto - tienda)."
Available,Disponible
"Available in stores","Disponible en tiendas"
"Back to product","Volver al producto"
"Current Stock","Stock actual"
"Edit Stock","Editar stock"
"Is never out of stock","Nunca está agotado"
"List of product availability","Lista de disponibilidad de productos"
n/a,n/a
Name,Nombre
No,No
"Not available","No disponible"
"Product Availability","Disponibilidad del producto"
"Product availability list","Lista de disponibilidad de productos"
"Products Availability","Disponibilidad de productos"
"Quantity in Bundle","Cantidad en paquete"
"Reserved Products","Productos reservados"
Save,Guardar
SKU,SKU
"Variant availability","Disponibilidad de variantes"
Yes,Sí
"Overview of Products Availability","Resumen de disponibilidad de productos"
"Is bundle product","Es un producto de paquete"
Store,Tienda
