"Table name is not allowed for dynamic entity. Table: %s","Le nom de la table n'est pas autorisé pour une entité dynamique. Table : %s"
"Table name or table alias is not unique for dynamic entity. Table: %s","Le nom de la table ou l'alias de la table n'est pas unique pour une entité dynamique. Table : %s"
"Table name is not unique for dynamic entity. Table: %s","Le nom de la table n'est pas unique pour une entité dynamique. Table : %s"
"Table alias is not unique for dynamic entity. Table: %s","L'alias de la table n'est pas unique pour une entité dynamique. Table : %s"
"Validation rule `isRequired` must be set for boolean field type.","La règle de validation 'isRequired' doit être définie pour le type de champ booléen."
"Validation setting `isRequired` must be set for `decimal` field type.","Le paramètre de validation 'isRequired' doit être défini pour le type de champ 'decimal'."
"Validation setting `scale` must be less than `precision` for `decimal` field type.","Le paramètre de validation 'scale' doit être inférieur à 'precision' pour le type de champ 'decimal'."
"Validation setting `isRequired` must be set for `integer` field type.","Le paramètre de validation 'isRequired' doit être défini pour le type de champ 'integer'."
"Validation setting `min` must be less than `max` for `integer` field type.","Le paramètre de validation 'min' doit être inférieur à 'max' pour le type de champ 'integer'."
"Validation setting `isRequired` must be set for `string` field type.","Le paramètre de validation 'isRequired' doit être défini pour le type de champ 'string'."
"Validation setting `minLength` must be less than `maxLength` for `string` field type.","Le paramètre de validation 'minLength' doit être inférieur à 'maxLength' pour le type de champ 'string'."
"Field type is not allowed for dynamic entity. Type: %s","Le type de champ n'est pas autorisé pour une entité dynamique. Type : %s"
"Identifier is required for dynamic entity configuration.","L'identifiant est requis pour la configuration de l'entité dynamique."
"Identifier is not defined in field definitions.","L'identifiant n'est pas défini dans les définitions de champ."
"Field definition `type` is required for dynamic entity configuration.","La définition de champ 'type' est requise pour la configuration de l'entité dynamique."
"Field definition `fieldName` is required for dynamic entity configuration.","La définition de champ 'fieldName' est requise pour la configuration de l'entité dynamique."
"Field definition `fieldVisibleName` is required for dynamic entity configuration.","La définition de champ 'fieldVisibleName' est requise pour la configuration de l'entité dynamique."
"Field definition `isCreatable` is required for dynamic entity configuration.","La définition de champ 'isCreatable' est requise pour la configuration de l'entité dynamique."
"Field definition `isEditable` is required for dynamic entity configuration.","La définition de champ 'isEditable' est requise pour la configuration de l'entité dynamique."
"Resource name `%s` is not valid. Allowed characters: a-z, A-Z, 0-9, _ and - ","Le nom de ressource '%s' n'est pas valide. Caractères autorisés : a-z, A-Z, 0-9, _ et -."
