"# of Other Labels","# of Andere Labels"
"# of Products","# of Producten"
Activate,Activeren
Active,Actief
"Applied Products","Toegepaste Producten"
"Are you sure you want to delete this product label?","Weet u zeker dat u deze productlabel wilt verwijderen?"
"Assigned products","Toegewezen producten"
"Available products","Beschikbare producten"
"Back to Product Labels","Terug naar Productlabels"
Behavior,Gedrag
Categories,Categorieën
"Create a Product Label","Een Productlabel aanmaken"
"Create Product Label","Productlabel aanmaken"
"De-select all","Deselecteer alles"
Deactivated,Gedeactiveerd
"Delete Product Label","Productlabel verwijderen"
Delete,Verwijderen
"Edit Product Label","Productlabel bewerken"
Edit,Bewerken
"Front-end Reference","Front-end Referentie"
General,Algemeen
ID,ID
"Is Active","Is Actief"
"Is Dynamic","Is Dynamisch"
"Is Exclusive","Is Exclusief"
"List of Product Labels","Lijst van Productlabels"
"Missing or wrong request data","Ontbrekende of verkeerde verzoekgegevens"
N/A,N/A
Name,Naam
"No, I want to keep this product label","Nee, ik wil deze productlabel behouden"
No,Nee
"Overview of Product Labels","Overzicht van Productlabels"
"Prioritize Product Labels","Prioriteit geven aan Productlabels"
Priority,Prioriteit
"Product label #%d successfully updated.","Productlabel #%d succesvol bijgewerkt."
"Product label #%d was successfully deleted.","Productlabel #%d is succesvol verwijderd."
"Product label priority updated successfully.","Productlabel prioriteit succesvol bijgewerkt."
"Product label removal confirmation","Bevestiging verwijderen productlabel"
"Product Labels",Productlabels
"Products Applied to","Producten toegepast op"
"Products for this label are assigned dynamically, you can't manage relations manually.","Producten voor dit label worden dynamisch toegewezen, u kunt de relaties niet handmatig beheren."
"Products to which this label applies","Producten waarop dit label van toepassing is"
Save,Opslaan
"Select all","Alles selecteren"
"Selected products to assign","Geselecteerde producten toewijzen"
"Selected products to de-assign","Geselecteerde producten niet toewijzen"
Settings,Instellingen
Status,Status
"Store relation",Winkelrelatie
Stores,Winkels
Translations,Vertalingen
"This product has already assigned to the given label","Dit product is al toegewezen aan het opgegeven label"
"This product has not been assigned to the given label","Dit product is niet toegewezen aan het opgegeven label"
"Valid from","Geldig van"
"Valid to","Geldig tot"
Validity,Geldigheid
"View Product Label","Bekijk productlabel"
View,Bekijken
"Yes, delete this product label","Ja, verwijder dit productlabel"
Yes,Ja
"Product label #%d successfully created.","Productlabel #%d succesvol aangemaakt."
"Number of Products","# producten"
