Actions,Azioni
Active,Attivo
Approved,Approvato
approved_offer_button,Approva
"Offer Approve",Approva
Deny,Nega
"Back to Offers","Torna alle Offerte"
denied_offer_button,Nega
Denied,Negato
Description,Descrizione
Inactive,Inattivo
"List of Offers","Elenco delle Offerte"
Name,Nome
Offer,Offerta
"Offer ID","ID Offerta"
Offers,Offerte
Product,Prodotto
Reference,Riferimento
SKU,SKU
Status,Stato
Stores,Negozi
"The approval status was updated","Lo stato di approvazione è stato aggiornato"
Type,Tipo
"View Offer","Visualizza Offerta"
Visibility,Visibilità
"Volume Prices","Prezzi per Volume"
Approval,Approvazione
"Approval Status","Stato di Approvazione"
"Waiting for Approval","In attesa di Approvazione"
