"Addition to address","إضافة إلى العنوان"
"Average Delivery Time","متوسط ​​وقت التسليم"
"Banner URL","عنوان URL للبانر"
"Banner url","عنوان URL للبانر"
"Cancellation Policy","سياسة الإلغاء"
City,المدينة
"Contact Person","شخص الاتصال"
Country,البلد
"Data Privacy","خصوصية البيانات"
Description,الوصف
"Fax number","رقم الفاكس"
"First Name","الاسم الأول"
Imprint,البصمة
"Last Name","الاسم الأخير"
Latitude,"خط العرض"
"Legal Information","المعلومات القانونية"
"Logo URL","رابط الشعار"
Longitude,"خط الطول"
"Merchant Profile","ملف تعريف التاجر"
"Merchant Reference","مرجع التاجر"
Number,رقم
Phone,هاتف
"Public Email","البريد الإلكتروني العام"
"Public Phone","الهاتف العام"
Role,الدور
Street,الشارع
"Terms and Conditions","الشروط والأحكام"
Title,العنوان
"Zip Code","الرمز البريدي"
