"Architecture Sniffers","Architecture Sniffers"
Catalog,Catálogo
"Collector: Drop Search Timestamps","Collector: Drop Search Timestamps"
"Collector: Drop Storage Timestamps","Collector: Drop Storage Timestamps"
Content,Contenido
"Global Threshold","Umbral Global"
Marketplace,Mercado
"Merchant Relationships Threshold","Umbral de Relaciones con Comerciantes"
"MIME Type Settings","Configuración de Tipo MIME"
"Module Overview","Resumen del Módulo"
"Sync Permissions","Sincronizar Permisos"
"User Groups","Grupos de Usuarios"
"User Roles","Roles de Usuario"
Users,Usuarios
