"Add note","Adicionar Nota"
"Days left:","Dias restantes:"
Discontinue,Descontinuar
Discontinued,Descontinuado
Restore,Restaurar
"Will be deactivated on:","Será desativado em:"
"Discontinue Product","Descontinuar Produto"
"You can discontinue a product on this tab and add a note - why this product is discontinued.","Você pode descontinuar um produto nesta aba e adicionar uma nota - por que este produto está descontinuado."
"Note: Discontinued products will still be visible in the shop and have stock, but it will not be possible to buy it.","Nota: Produtos descontinuados ainda serão visíveis na loja e terão estoque, mas não será possível comprá-los."
"Product has been marked as discontinued.","O produto foi marcado como descontinuado."
"Product has been unmarked as discontinued.","O produto foi desmarcado como descontinuado."
