Actions,Azioni
Active,Attivo
Administration,Amministrazione
"Available in store","Disponibile in negozio"
"Available in the following store(s)","Disponibile nel(i) seguente(i) negozio(i)"
Configuration,Configurazione
"Create Warehouse","Crea Magazzino"
"Edit Warehouse","Modifica Magazzino"
Inactive,Inattivo
"Is this warehouse available?","Questo magazzino è disponibile?"
Name,Nome
No,No
Status,Stato
"Stock not found","Stock non trovato"
"Store relation","Relazione con il negozio"
"Store Relation","Relazione con il negozio"
"This name is already in use.","Questo nome è già in uso."
View,Visualizza
"View Warehouse: ","Visualizza Magazzino: "
"Warehouse has been successfully saved","Il magazzino è stato salvato con successo"
"Warehouse has been successfully updated","Il magazzino è stato aggiornato con successo"
"Warehouse ID","ID Magazzino"
Warehouses,Magazzini
Yes,Sì
