"Are you sure about deleting this navigation?","Sei sicuro di voler eliminare questa navigazione?"
"Are you sure you remove the selected node and all its children?","Sei sicuro di voler rimuovere il nodo selezionato e tutti i suoi figli?"
"Back to Navigation Elements","Torna agli Elementi di Navigazione"
"Create child node","Crea nodo figlio"
"Create Navigation Element","Crea Elemento di Navigazione"
"Delete Navigation","Elimina Navigazione"
"Delete selected node","Elimina nodo selezionato"
Duplicate,Duplica
"Duplicate Navigation Element","Duplica Elemento di Navigazione"
"Edit node","Modifica nodo"
Key,Chiave
Name,Nome
"Navigation element details","Dettagli dell'elemento di navigazione"
"Navigation element %d was deleted successfully.","L'elemento di navigazione %d è stato eliminato con successo."
"Navigation element %d was not found.","L'elemento di navigazione %d non è stato trovato."
"Navigation removal confirmation","Conferma rimozione navigazione"
"Navigation tree","Albero di navigazione"
"No, I want to keep this navigation","No, voglio mantenere questa navigazione"
Save,Salva
"Save order","Salva Ordine"
Search,Cerca
"Yes, delete this navigation","Sì, elimina questa navigazione"
"Overview of Navigation Elements","Panoramica degli Elementi di Navigazione"
"Navigation element %d was activated successfully.","L'elemento di navigazione %d è stato attivato con successo."
"Navigation element %d was deactivated successfully.","L'elemento di navigazione %d è stato disattivato con successo."
