Currency,العملة
"Enter a quantity and the item price that should be applied if customer buys above that threshold","أدخل الكمية وسعر العنصر الذي يجب تطبيقه إذا اشترى العميل أعلى من هذا الحد"
"Price Dimension Name","اسم بعد السعر"
"Price Type","نوع السعر"
Store,متجر
"Save and add more rows","حفظ وإضافة صفوف أخرى"
"Save and exit","حفظ والخروج"
"Volume prices successfully saved.","تم حفظ أسعار الحجم بنجاح."
"Volume prices","أسعار الحجم"
"Edit volume prices for product","تحرير أسعار الحجم للمنتج"
"Edit volume prices","تعديل أسعار الحجم"
