Actions,操作
"Add list",添加列表
"Are you sure you want to remove this list? Removing this list will also remove all associated functionalities.",您确定要删除此列表吗？删除此列表还将删除所有相关功能。
"Assign Categories",分配类别
"Assign Products",分配产品
Back,返回
"Back to Product Lists",返回产品列表
Blacklist,黑名单
"Business Unit Owner Name",业务单位所有者名称
Cancel,取消
"Confirm action",确认操作
"Create a Product List",创建产品列表
"Edit List",编辑列表
"Edit Product List",编辑产品列表
Export,导出
ID,ID
"ID Merchant Relation",ID商户关系
"Import Product List",导入产品列表
"List of Product lists",产品列表
"Merchant Name",商户名称
"Merchant relationship",商户关系
Name,名称
"Overview of Product lists",产品列表概述
"Owner Type",所有者类型
"Please ensure you saved information",请确保您已保存信息
"Product label #%d successfully created.","产品标签 #%d 已成功创建。"
"Product List ""%s"" has been successfully created.","产品列表 ""%s"" 已成功创建。"
"Product List ""%s"" has been successfully updated.","产品列表 ""%s"" 已成功更新。"
"Product List has been successfully removed.",产品列表已成功删除。
"Product List removal confirmation",产品列表已成功删除
"Product Lists",产品列表
"Products in this list",此列表中的产品
"Remove List",删除列表
Save,保存
"Select Products to assign",选择要分配的产品
Selected,已选择
SKU,SKU
Title,标题
Type,类型
"Used By",使用者
Whitelist,Whitelist
Сonfirm,Сonfirm
"Add List","Add List"
