"Forgot password?","Forgot password?"
Login,"تسجيل الدخول"
Reset,"إعادة تعيين"
"Email Address","عنوان البريد الإلكتروني"
"Request token is missing!","طلب الرمز المميز مفقود!"
"Invalid request token!","رمز طلب غير صالح!"
"Password updated.","تم تحديث كلمة المرور."
"Could not update password.","تعذر تحديث كلمة المرور."
Password,"كلمة المرور"
"The password fields must match.","يجب أن تتطابق حقول كلمة المرور."
"Repeat Password","تكرار كلمة المرور"
"Recover password","استعادة كلمة المرور"
"If there is an account associated with this email, you will receive an Email with further instructions.","إذا كان هناك حساب مرتبط بهذا البريد الإلكتروني، ستتلقى رسالة بريد إلكتروني تحتوي على تعليمات إضافية."
