"Add a file","Ajouter un fichier"
"Add MIME type","Ajouter un type MIME"
"Back to File Directory Elements","Retour à la liste des éléments du répertoire de fichiers"
"Back to File Tree","Retour à l'arborescence des fichiers"
"Back to MIME type list","Retour à la liste des types MIME"
Cancel,Annuler
confirm,Confirmer
"Confirm deleting","Confirmer la suppression"
"Create Directory Element","Créer un élément de répertoire"
"Create File Directory","Créer un répertoire de fichiers"
Date,date
"Delete Directory","Supprimer le répertoire"
"Directory element details","Détails de l'élément du répertoire"
"Do you want to remove the folder with all files?","Voulez-vous supprimer le dossier avec tous les fichiers ?"
"Edit file","Modifier le fichier"
"Edit MIME type","Modifier le type MIME"
"Failed to delete MIME type","Échec de la suppression du type MIME"
"File Directory tree updated successfully.","L'arborescence du répertoire de fichiers a été mise à jour avec succès."
"File List","Liste des fichiers"
"File Manager","Gestionnaire de fichiers"
"File name","Nom du fichier"
"File Tree","Arborescence des fichiers"
"File type","Type de fichier"
"File type is not allowed for uploading","Le type de fichier n'est pas autorisé pour le téléchargement"
"File upload","Télécharger un fichier"
"File was not found","Le fichier n'a pas été trouvé"
"Files list","Liste des fichiers"
"MIME type","Type MIME"
"MIME type already exists","Le type MIME existe déjà"
"MIME type settings","Paramètres du type MIME"
"MIME type was successfully deleted","Le type MIME a été supprimé avec succès"
"MIME type was successfully saved","Le type MIME a été enregistré avec succès"
Save,Enregistrer
"Save order","Enregistrer l'ordre"
"Specify a file name or use real one","Spécifiez un nom de fichier"
"The file directory was added successfully.","Le répertoire de fichiers a été ajouté avec succès"
"The file was added successfully.","Le fichier a été ajouté avec succès"
"The file was edited successfully.","Le fichier a été modifié avec succès"
"Upload a file","Télécharger un fichier"
"Upload a file or specify a new file name","Télécharger un fichier ou spécifier un nouveau nom de fichier"
"Use file name","Utiliser le nom de fichier"
"View file","Voir le fichier"
"Is allowed","Est autorisé"
"Add File","Ajouter un fichier"
"File Directories Tree","Arborescence des répertoires de fichiers"
"Overview of File Tree","Aperçu de l'arborescence des fichiers"
"You cannot remove the only version of the file.","Vous ne pouvez pas supprimer la seule version du fichier."
"Available extensions for MIME type. Comma separated.","Extensions disponibles pour le type MIME. Séparées par des virgules."
"There are no MIME types or extensions configured.","Aucun type MIME ou extension n'est configuré."
