"%s header(s) is missing in uploaded csv file","%s cabeçalho(s) está(ão) em falta no ficheiro csv enviado"
"Abstract product was not found by provided sku %s.","Produto abstrato não foi encontrado pelo sku fornecido %s."
Actions,Ações
"An identical scheduled price already exists for this product.","Já existe um preço agendado idêntico para este produto."
"Are you sure about deleting the Scheduled prices %s?","Tem a certeza de que pretende eliminar os preços agendados %s?"
"Are you sure about deleting this scheduled price?","Tem a certeza de que pretende eliminar este preço agendado?"
"By clicking the ""Publish"" button below, you will send the scheduled prices to the live system.","Ao clicar no botão ""Publicar"" abaixo, enviará os preços agendados para o sistema em tempo real."
"Concrete product was not found by provided sku %s.","Produto concreto não foi encontrado pelo sku fornecido %s."
"Currency was not found by provided iso code %s.","Moeda não foi encontrada pelo código iso fornecido %s."
"Dates must be in right format and to date must be greater than from.","As datas devem estar no formato correto e a data final deve ser superior à data inicial."
Delete,Eliminar
Download,Transferir
Draft,Rascunho
"Dry run of your import","Executar a seco da sua importação"
Edit,Editar
"Eg: Christmas sales, etc.","Ex: Vendas de Natal, etc."
Error,Erro
"Errors found inside your file","Erros encontrados no seu ficheiro"
"Finish at must be greater than start from","A data de conclusão deve ser superior à data de início"
"Gross and Net Amount must be a positive integer.","O valor bruto e líquido deve ser um número inteiro positivo."
"If you want to retry your import with corrected data, use ""Import your csv file"" button.","Se pretender tentar novamente a importação com dados corrigidos, utilize o botão ""Importar o seu ficheiro csv""."
Import,Importar
"Import ID","ID de importação"
"Import n","Importar n"
"Import new scheduled prices","Importar novos preços agendados"
"Import Scheduled Prices","Importar Preços Agendados"
"Import your CSV file","Importar o seu ficheiro CSV"
"Imported by and on the","Importado por e em"
"Imported by on the","Importado por em"
"Importing a lot of scheduled prices can take some time.","A importação de muitos preços agendados pode demorar algum tempo."
"Learn about file format on our documentation","Saiba mais sobre o formato de ficheiro na nossa documentação"
Name,Nome
"No prices have been processed. You may have only errors inside your file or no prices were defined inside.","Não foram processados preços. Pode haver apenas erros no seu ficheiro ou não foram definidos preços."
"No, I want to keep this price","Não, quero manter este preço"
"Number of prices","Número de preços"
"Number of products","Número de produtos"
"One Product Abstract Sku or Product Concrete Sku must be provided.","Deve ser fornecido um SKU de Produto Abstrato ou SKU de Produto Concreto."
"Price type was not found by provided sku %s.","Tipo de preço não foi encontrado pelo sku fornecido %s."
Prices,Preços
"Publish the scheduled prices","Publicar os preços agendados"
Published,Publicado
"Row n°","Linha nº"
"Row processed with success","Linha processada com sucesso"
"Schedule name","Nome do agendamento"
"Schedule price haven not been saved","O preço do agendamento não foi salvo"
"Scheduled price already exists.","O preço agendado já existe."
"Scheduled price has been successfully saved","O preço agendado foi salvo com sucesso"
"Scheduled price list was successfully removed","A lista de preços agendados foi removida com sucesso"
"Scheduled Prices","Preços agendados"
"Scheduled prices inside import","Preços agendados dentro da importação"
"Scheduled Prices: Import dry run","Preços agendados: Simulação de importação"
"Select your CSV file","Selecione seu arquivo CSV"
Status,Status
"Store was not found by provided name %s.","Loja não encontrada pelo nome fornecido %s."
"The timezone used for the scheduled price will be %s as defined on the store selected","O fuso horário usado para o preço agendado será %s, conforme definido na loja selecionada"
"They will be available to your customers based on the dates","Eles estarão disponíveis para seus clientes com base nas datas"
"Via data import","Via importação de dados"
View,Visualizar
"Yes, delete this price","Sim, excluir este preço"
"Yes, delete those prices","Sim, excluir esses preços"
"No, I want to keep those prices","Não, quero manter esses preços"
"Delete Import","Excluir importação"
"You will delete %d prices for %d products. Is this what you want?","Você excluirá %d preços para %d produtos. É isso que você deseja?"
"You will find below the list errors and successfully processed rows inside your import file.","Você encontrará abaixo a lista de erros e as linhas processadas com sucesso em seu arquivo de importação."
"Your file does not contain any errors.","Seu arquivo não contém erros."
"Your prices are now available to your custoers based on their start and end date.","Seus preços agora estão disponíveis para seus clientes com base em sua data de início e término."
"Your prices are now available to your customers based on their start and end date.","Seus preços agora estão disponíveis para seus clientes com base em sua data de início e término."
"Your scheduled prices have been published","Seus preços agendados foram publicados"
"Price type","Tipo de preço"
"Start from (included)","Início a partir de (incluído)"
"Finish at (included)","Término em (incluído)"
"You can define a price for the product that will take effect at a date and time in the future. You can define multiple prices on the same period.","Você pode definir um preço para o produto que entrará em vigor em uma data e horário futuros. Você pode definir vários preços no mesmo período."
"Import via CSV file","Importar via arquivo CSV"
"Add scheduled price","Adicionar preço agendado"
"Scheduled prices inside this import","Preços agendados dentro desta importação"
"View Import","Visualizar importação"
"Edit Import","Editar importação"
"Edit Scheduled Price","Editar preço agendado"
"Scheduled price information","Informações do preço agendado"
"Scheduled price was successfully removed","O preço agendado foi removido com sucesso."
"Choose store","Escolher loja"
"Choose currency","Escolher moeda"
"Net price or gross price must be filled","O preço líquido ou o preço bruto deve ser preenchido"
"Scheduled prices imported","Preços agendados importados"
"The timezone used for the scheduled price will be <b class=""timezone""></b> as defined on the store selected","O fuso horário usado para o preço agendado será <b class=""timezone""></b> conforme definido na loja selecionada"
