"Table name is not allowed for dynamic entity. Table: %s","Il nome della tabella non è consentito per l'entità dinamica. Tabella: %s"
"Table name or table alias is not unique for dynamic entity. Table: %s","Il nome della tabella o l'alias della tabella non è univoco per l'entità dinamica. Tabella: %s"
"Table name is not unique for dynamic entity. Table: %s","Il nome della tabella non è univoco per l'entità dinamica. Tabella: %s"
"Table alias is not unique for dynamic entity. Table: %s","L'alias della tabella non è univoco per l'entità dinamica. Tabella: %s"
"Validation rule `isRequired` must be set for boolean field type.","La regola di convalida 'isRequired' deve essere impostata per il tipo di campo booleano."
"Validation setting `isRequired` must be set for `decimal` field type.","L'impostazione di convalida 'isRequired' deve essere impostata per il tipo di campo 'decimal'."
"Validation setting `scale` must be less than `precision` for `decimal` field type.","L'impostazione di convalida 'scale' deve essere inferiore a 'precision' per il tipo di campo 'decimal'."
"Validation setting `isRequired` must be set for `integer` field type.","L'impostazione di convalida 'isRequired' deve essere impostata per il tipo di campo 'integer'."
"Validation setting `min` must be less than `max` for `integer` field type.","L'impostazione di convalida 'min' deve essere inferiore a 'max' per il tipo di campo 'integer'."
"Validation setting `isRequired` must be set for `string` field type.","L'impostazione di convalida 'isRequired' deve essere impostata per il tipo di campo 'stringa'."
"Validation setting `minLength` must be less than `maxLength` for `string` field type.","L'impostazione di convalida 'minLength' deve essere inferiore a 'maxLength' per il tipo di campo 'stringa'."
"Field type is not allowed for dynamic entity. Type: %s","Il tipo di campo non è consentito per l'entità dinamica. Tipo: %s"
"Identifier is required for dynamic entity configuration.","L'identificatore è richiesto per la configurazione dell'entità dinamica."
"Identifier is not defined in field definitions.","L'identificatore non è definito nelle definizioni dei campi."
"Field definition `type` is required for dynamic entity configuration.","La definizione del campo 'type' è richiesta per la configurazione dell'entità dinamica."
"Field definition `fieldName` is required for dynamic entity configuration.","La definizione del campo 'fieldName' è richiesta per la configurazione dell'entità dinamica."
"Field definition `fieldVisibleName` is required for dynamic entity configuration.","La definizione del campo 'fieldVisibleName' è richiesta per la configurazione dell'entità dinamica."
"Field definition `isCreatable` is required for dynamic entity configuration.","La definizione del campo 'isCreatable' è richiesta per la configurazione dell'entità dinamica."
"Field definition `isEditable` is required for dynamic entity configuration.","La definizione del campo 'isEditable' è richiesta per la configurazione dell'entità dinamica."
"Resource name `%s` is not valid. Allowed characters: a-z, A-Z, 0-9, _ and - ","Il nome della risorsa '%s' non è valido. Caratteri consentiti: a-z, A-Z, 0-9, _ e -."
