"%s header(s) is missing in uploaded csv file","%s header(s) ontbreekt in geüploade csv-bestand"
"Abstract product was not found by provided sku %s.","Abstract product is niet gevonden met de opgegeven sku %s."
Actions,Acties
"An identical scheduled price already exists for this product.","Er bestaat al een identieke geplande prijs voor dit product."
"Are you sure about deleting the Scheduled prices %s?","Weet u zeker dat u de geplande prijzen %s wilt verwijderen?"
"Are you sure about deleting this scheduled price?","Weet u zeker dat u deze geplande prijs wilt verwijderen?"
"By clicking the ""Publish"" button below, you will send the scheduled prices to the live system.","Door op de knop ""Publiceren"" hieronder te klikken, stuurt u de geplande prijzen naar het live systeem."
"Concrete product was not found by provided sku %s.","Concrete product is niet gevonden met de opgegeven sku %s."
"Currency was not found by provided iso code %s.","Valuta is niet gevonden met de opgegeven iso-code %s."
"Dates must be in right format and to date must be greater than from.","Data moeten in het juiste formaat zijn en de einddatum moet groter zijn dan de begindatum."
Delete,Verwijderen
Download,Downloaden
Draft,Concept
"Dry run of your import",Proefimport
Edit,Bewerken
"Eg: Christmas sales, etc.","Bijv .: Kerstverkoop, enz."
Error,Fout
"Errors found inside your file","Fouten gevonden in uw bestand"
"Finish at must be greater than start from","Eindtijd moet groter zijn dan starttijd"
"Gross and Net Amount must be a positive integer.","Bruto- en netto bedrag moeten een positief geheel getal zijn."
"If you want to retry your import with corrected data, use ""Import your csv file"" button.","Als u uw import opnieuw wilt proberen met gecorrigeerde gegevens, gebruik dan de knop ""Importeer uw csv-bestand""."
Import,Importeren
"Import ID",Import-ID
"Import n","Import n"
"Import new scheduled prices","Importeer nieuwe geplande prijzen"
"Import Scheduled Prices","Importeer Geplande Prijzen"
"Import your CSV file","Importeer uw CSV-bestand"
"Imported by and on the","Geïmporteerd door en op"
"Imported by on the","Geïmporteerd door op"
"Importing a lot of scheduled prices can take some time.","Het importeren van veel geplande prijzen kan enige tijd duren."
"Learn about file format on our documentation","Lees meer over het bestandsformaat in onze documentatie"
Name,Naam
"No prices have been processed. You may have only errors inside your file or no prices were defined inside.","Er zijn geen prijzen verwerkt. Mogelijk zijn er alleen fouten in uw bestand of zijn er geen prijzen gedefinieerd."
"No, I want to keep this price","Nee, ik wil deze prijs behouden"
"Number of prices","Aantal prijzen"
"Number of products","Aantal producten"
"One Product Abstract Sku or Product Concrete Sku must be provided.","Een Product Abstract Sku of Product Concrete Sku moet worden opgegeven."
"Price type was not found by provided sku %s.","Prijssoort is niet gevonden met de opgegeven sku %s."
Prices,Prijzen
"Publish the scheduled prices","Publiceer de geplande prijzen"
Published,Gepubliceerd
"Row n°","Rij nr."
"Row processed with success","Rij succesvol verwerkt"
"Schedule name","Naam planning"
"Schedule price haven not been saved","Planning prijs is niet opgeslagen"
"Scheduled price already exists.","Geplande prijs bestaat al."
"Scheduled price has been successfully saved","Geplande prijs is succesvol opgeslagen"
"Scheduled price list was successfully removed","Geplande prijslijst is succesvol verwijderd"
"Scheduled Prices","Geplande prijzen"
"Scheduled prices inside import","Geplande prijzen in import"
"Scheduled Prices: Import dry run","Geplande prijzen: Import dry run"
"Select your CSV file","Selecteer uw CSV-bestand"
Status,Status
"Store was not found by provided name %s.","Winkel is niet gevonden met de opgegeven naam %s."
"The timezone used for the scheduled price will be %s as defined on the store selected","De tijdzone die wordt gebruikt voor de geplande prijs is %s, zoals gedefinieerd in de geselecteerde winkel"
"They will be available to your customers based on the dates","Ze zullen beschikbaar zijn voor uw klanten op basis van de data"
"Via data import","Via gegevensimport"
View,Bekijken
"Yes, delete this price","Ja, verwijder deze prijs"
"Yes, delete those prices","Ja, verwijder die prijzen"
"No, I want to keep those prices","Nee, ik wil die prijzen behouden"
"Delete Import","Import verwijderen"
"You will delete %d prices for %d products. Is this what you want?","U zult %d prijzen verwijderen voor %d producten. Is dit wat u wilt?"
"You will find below the list errors and successfully processed rows inside your import file.","Hieronder vindt u de lijst met fouten en succesvol verwerkte rijen in uw importbestand."
"Your file does not contain any errors.","Uw bestand bevat geen fouten."
"Your prices are now available to your custoers based on their start and end date.","Uw prijzen zijn nu beschikbaar voor uw klanten op basis van hun start- en einddatum."
"Your prices are now available to your customers based on their start and end date.","Uw prijzen zijn nu beschikbaar voor uw klanten op basis van hun start- en einddatum."
"Your scheduled prices have been published","Uw geplande prijzen zijn gepubliceerd"
"Price type","Prijs type"
"Start from (included)","Start vanaf (inclusief)"
"Finish at (included)","Eindigt op (inclusief)"
"You can define a price for the product that will take effect at a date and time in the future. You can define multiple prices on the same period.","U kunt een prijs voor het product definiëren die van kracht wordt op een toekomstige datum en tijd. U kunt meerdere prijzen definiëren voor dezelfde periode."
"Import via CSV file","Importeren via CSV-bestand"
"Add scheduled price","Geplande prijs toevoegen"
"Scheduled prices inside this import","Geplande prijzen in deze import"
"View Import","Import bekijken"
"Edit Import","Import bewerken"
"Edit Scheduled Price","Geplande prijs bewerken"
"Scheduled price information","Informatie geplande prijs"
"Scheduled price was successfully removed","Geplande prijs is succesvol verwijderd."
"Choose store","Kies winkel"
"Choose currency","Kies valuta"
"Net price or gross price must be filled","Nettoprijs of bruto prijs moet worden ingevuld"
"Scheduled prices imported","Geplande prijzen geïmporteerd"
"The timezone used for the scheduled price will be <b class=""timezone""></b> as defined on the store selected","De tijdzone die wordt gebruikt voor de geplande prijs is <b class=""timezone""></b> zoals gedefinieerd in de geselecteerde winkel"
