"# of Other Labels","# di Altre Etichette"
"# of Products","# di Prodotti"
Activate,Attiva
Active,Attivo
"Applied Products","Prodotti Applicati"
"Are you sure you want to delete this product label?","Sei sicuro di voler eliminare questa etichetta prodotto?"
"Assigned products","Prodotti assegnati"
"Available products","Prodotti disponibili"
"Back to Product Labels","Torna alle Etichette Prodotti"
Behavior,Comportamento
Categories,Categorie
"Create a Product Label","Crea un'Etichetta Prodotto"
"Create Product Label","Crea Etichetta Prodotto"
"De-select all","Deseleziona tutto"
Deactivated,Disattivato
"Delete Product Label","Elimina Etichetta Prodotto"
Delete,Elimina
"Edit Product Label","Modifica Etichetta Prodotto"
Edit,Modifica
"Front-end Reference","Riferimento Front-end"
General,Generale
ID,ID
"Is Active","È Attivo"
"Is Dynamic","È Dinamico"
"Is Exclusive","È Esclusivo"
"List of Product Labels","Elenco delle Etichette Prodotti"
"Missing or wrong request data","Dati di richiesta mancanti o errati"
N/A,N/A
Name,Nome
"No, I want to keep this product label","No, voglio mantenere questa etichetta prodotto"
No,No
"Overview of Product Labels","Panoramica delle Etichette Prodotti"
"Prioritize Product Labels","Priorità delle Etichette Prodotti"
Priority,Priorità
"Product label #%d successfully updated.","Etichetta prodotto #%d aggiornata con successo."
"Product label #%d was successfully deleted.","Etichetta prodotto #%d eliminata con successo."
"Product label priority updated successfully.","Priorità dell'etichetta prodotto aggiornata con successo."
"Product label removal confirmation","Conferma rimozione etichetta prodotto"
"Product Labels","Etichette Prodotti"
"Products Applied to","Prodotti Applicati"
"Products for this label are assigned dynamically, you can't manage relations manually.","I prodotti per questa etichetta vengono assegnati dinamicamente, non è possibile gestire le relazioni manualmente."
"Products to which this label applies","Prodotti a cui si applica questa etichetta"
Save,Salva
"Select all","Seleziona tutto"
"Selected products to assign","Prodotti selezionati da assegnare"
"Selected products to de-assign","Prodotti selezionati da rimuovere"
Settings,Impostazioni
Status,Stato
"Store relation","Relazione negozio"
Stores,Negozi
Translations,Traduzioni
"This product has already assigned to the given label","Questo prodotto è già stato assegnato all'etichetta specificata"
"This product has not been assigned to the given label","Questo prodotto non è stato assegnato all'etichetta specificata"
"Valid from","Valido dal"
"Valid to","Valido fino al"
Validity,Validità
"View Product Label","Visualizza etichetta prodotto"
View,Visualizza
"Yes, delete this product label","Sì, elimina questa etichetta prodotto"
Yes,Sì
"Product label #%d successfully created.","Etichetta prodotto #%d creata con successo."
"Number of Products","# di prodotti"
