"<- Prev Step","<- Prev Step"
"Add Item","Item toevoegen"
"Add Voucher","Voucher toevoegen"
"Added Items","Toegevoegde items"
"Billing address",Factuuradres
"Billing same as shipping","Factuuradres gelijk aan verzendadres"
"Create Customer","Klant aanmaken"
"Create Order","Bestelling aanmaken"
"Customer is registered successfully.","Klant is succesvol geregistreerd."
Discounts,Kortingen
"Dummy payment invoice","Dummy betalingsfactuur"
"Grand Total",Totaalbedrag
"Invalid data provided.","Ongeldige gegevens verstrekt."
"Manual Order Entry","Handmatige bestelling invoer"
Name,Naam
"Next Step ->","Volgende stap ->"
"Order is created successfully.","Bestelling is succesvol aangemaakt."
"Order Source",Bestelbron
Payment,Betaling
"Price to pay","Te betalen bedrag"
Quantity,Hoeveelheid
Redeem,Inwisselen
Sales,Verkoop
Save,Opslaan
"Select Customer","Klant selecteren"
"Select Products","Producten selecteren"
"Selecting a shipment method","Selecteren van een verzendmethode"
Shipping,Verzending
"Shipping address",Verzendadres
Sku,SKU
"Sub Total",Subtotaal
Submit,Verzenden
"Submit order","Bestelling indienen"
"Submit Order","Bestelling plaatsen"
"Sum Gross Price","Bruto totaalbedrag"
Tax,Belasting
"Unit Gross Price","Bruto eenheidsprijs"
Vouchers,Vouchers
