Actions,Azioni
"Add list","Aggiungi lista"
"Are you sure you want to remove this list? Removing this list will also remove all associated functionalities.","Sei sicuro di voler rimuovere questa lista? La rimozione di questa lista comporterà anche la rimozione di tutte le funzionalità associate."
"Assign Categories","Assegna categorie"
"Assign Products","Assegna prodotti"
Back,Indietro
"Back to Product Lists","Torna alle liste di prodotti"
Blacklist,Blacklist
"Business Unit Owner Name","Nome del proprietario dell'unità aziendale"
Cancel,Annulla
"Confirm action","Conferma azione"
"Create a Product List","Crea una lista di prodotti"
"Edit List","Modifica lista"
"Edit Product List","Modifica lista di prodotti"
Export,Esporta
ID,ID
"ID Merchant Relation","Relazione ID commerciante"
"Import Product List","Importa lista di prodotti"
"List of Product lists","Elenco di liste di prodotti"
"Merchant Name","Nome commerciante"
"Merchant relationship","Relazione commerciante"
Name,Nome
"Overview of Product lists","Panoramica delle liste di prodotti"
"Owner Type","Tipo di proprietario"
"Please ensure you saved information","Assicurati di aver salvato le informazioni"
"Product label #%d successfully created.","Etichetta prodotto #%d creata con successo."
"Product List ""%s"" has been successfully created.","La lista di prodotti ""%s"" è stata creata con successo."
"Product List ""%s"" has been successfully updated.","La lista di prodotti ""%s"" è stata aggiornata con successo."
"Product List has been successfully removed.","La lista di prodotti è stata rimossa con successo."
"Product List removal confirmation","La lista di prodotti è stata rimossa con successo"
"Product Lists","Liste di prodotti"
"Products in this list","Prodotti in questa lista"
"Remove List","Rimuovi lista"
Save,Salva
"Select Products to assign","Seleziona i prodotti da assegnare"
Selected,Selezionato
SKU,SKU
Title,Titolo
Type,Tipo
"Used By","Utilizzato da"
Whitelist,Whitelist
Сonfirm,Сonfirm
"Add List","Add List"
