"A customer can not be assigned to multiple users at a time.","Een klant kan niet tegelijkertijd aan meerdere gebruikers worden toegewezen."
Assign,Toewijzen
"Assign Customers","Klanten toewijzen"
"Assign Customers to User:","Klanten toewijzen aan gebruiker:"
Assigned,Toegewezen
"Assigned Zed User Reference","Toegewezen Zed Gebruikersreferentie"
"Customer E-mail","Klant E-mail"
"Customer-user connections are updated.","Klant-gebruikersverbindingen worden bijgewerkt."
"Customers to be assigned","Te assigneren klanten"
"Deselected customers","Gedeselecteerde klanten"
Female,Vrouwelijk
"List Users","Lijst van gebruikers"
Male,Mannelijk
Save,Opslaan
"Select customers to assign","Selecteer klanten om toe te wijzen"
"User couldn't be found","Gebruiker kon niet worden gevonden"
"Your unsaved modification will be lost, are you sure to continue?","Uw niet-opgeslagen wijziging gaat verloren, weet u zeker dat u wilt doorgaan?"
"Customers to be deassigned","Klanten om te deassigneren"
"List of customers","Lijst van klanten"
"Selected customers","Geselecteerde klanten"
