"Custom CSS class","Aangepaste CSS-klasse"
"Date ""Valid from"" cannot be later than ""Valid to"".","Datum ""Geldig van"" kan niet later zijn dan ""Geldig tot""."
"Date ""Valid to"" cannot be earlier than ""Valid from"".","Datum ""Geldig tot"" kan niet eerder zijn dan ""Geldig van""."
"Edit Navigation Element: ","Navigatie-element bewerken:"
"External URL","Externe URL"
"If a navigation node is inactive, then this item and all navigation items under this one will not be visible.","Als een navigatieknooppunt inactief is, dan zal dit item en alle navigatie-items onder dit knooppunt niet zichtbaar zijn."
"Incorrect request data.","Onjuiste verzoekgegevens."
"Links should start with ""/"".","Links moeten beginnen met ""/""."
"List of navigation elements","Lijst van navigatie-elementen"
Navigation,Navigatie
"Navigation element %d was activated successfully.","Navigatie-element %d is succesvol geactiveerd."
"Navigation element %d was created successfully.","Navigatie-element %d is succesvol aangemaakt."
"Navigation element %d was deactivated successfully.","Navigatie-element %d is succesvol gedeactiveerd."
"Navigation element %d was deleted successfully.","Navigatie-element %d is succesvol verwijderd."
"Navigation element %d was not found.","Navigatie-element %d is niet gevonden."
"Navigation element %d was updated successfully.","Navigatie-element %d is succesvol bijgewerkt."
"Navigation element details",Navigatie-elementdetails
"Navigation node ""%s"" was created successfully.","Navigatieknooppunt ""%s"" is succesvol aangemaakt."
"Navigation node ""%s"" was deleted successfully.","Navigatieknooppunt ""%s"" is succesvol verwijderd."
"Navigation node ""%s"" was updated successfully.","Navigatieknooppunt ""%s"" is succesvol bijgewerkt."
"Navigation tree updated successfully.","Navigatiestructuur succesvol bijgewerkt."
"Navigation with id %s doesn't exist","Navigatie met id %s bestaat niet."
"Navigation with the same key already exists.","Navigatie met dezelfde sleutel bestaat al."
"This value is not a valid category URL for the given locale.","Deze waarde is geen geldige categorie-URL voor de opgegeven taalinstelling."
"This value is not a valid CMS page URL for the given locale.","Deze waarde is geen geldige CMS-pagina-URL voor de opgegeven taalinstelling."
"Type 3 letters to search by category name.","Typ 3 letters om te zoeken op categorienaam."
"Type 3 letters to search by CMS page name.","Typ 3 letters om te zoeken op CMS-paginanaam."
"You can drag and drop to define item order.","Je kunt slepen en neerzetten om de volgorde van items te bepalen."
