"Are you sure about deleting this navigation?","Êtes-vous sûr de vouloir supprimer cette navigation ?"
"Are you sure you remove the selected node and all its children?","Êtes-vous sûr de vouloir supprimer le nœud sélectionné et tous ses enfants ?"
"Back to Navigation Elements","Retour aux éléments de navigation"
"Create child node","Créer un nœud enfant"
"Create Navigation Element","Créer un élément de navigation"
"Delete Navigation","Supprimer la navigation"
"Delete selected node","Supprimer le nœud sélectionné"
Duplicate,Dupliquer
"Duplicate Navigation Element","Dupliquer l'élément de navigation"
"Edit node","Modifier le nœud"
Key,Clé
Name,Nom
"Navigation element details","Détails de l'élément de navigation"
"Navigation element %d was deleted successfully.","L'élément de navigation %d a été supprimé avec succès."
"Navigation element %d was not found.","L'élément de navigation %d n'a pas été trouvé."
"Navigation removal confirmation","Confirmation de suppression de la navigation"
"Navigation tree","Arborescence de navigation"
"No, I want to keep this navigation","Non, je veux conserver cette navigation"
Save,Enregistrer
"Save order","Enregistrer l'ordre"
Search,Rechercher
"Yes, delete this navigation","Oui, supprimer cette navigation"
"Overview of Navigation Elements","Aperçu des éléments de navigation"
"Navigation element %d was activated successfully.","L'élément de navigation %d a été activé avec succès."
"Navigation element %d was deactivated successfully.","L'élément de navigation %d a été désactivé avec succès."
