"Add a Dataset","Adicionar um Conjunto de Dados"
"Add Dataset","Adicionar Conjunto de Dados"
"Back to Dataset list","Voltar para a lista de Conjuntos de Dados"
"Content file","Ficheiro de Conteúdo"
Dataset,"Conjunto de Dados"
"Dataset was activated successfully.","O Conjunto de Dados foi ativado com sucesso."
"Dataset was deactivated successfully.","O Conjunto de Dados foi desativado com sucesso."
"Edit Dataset","Editar Conjunto de Dados"
Save,Guardar
"Something wrong","Algo de errado"
"No file selected.","Nenhum ficheiro selecionado."
"Datasets list","Lista de Conjuntos de Dados"
