"Add Content Item","Aggiungi elemento di contenuto"
"Back to Content Items","Torna agli elementi di contenuto"
Cancel,Annulla
"Content Item","Elemento di contenuto"
"Content Item ID","ID elemento di contenuto"
"Content Item Key","Chiave elemento di contenuto"
"Content Items","Elementi di contenuto"
"Content Type","Tipo di contenuto"
"Create Content Item","Crea elemento di contenuto"
Default,Predefinito
"Edit Content Item","Modifica elemento di contenuto"
"Edit Widget","Modifica widget"
Insert,Inserisci
"Insert a Content Item","Inserisci un elemento di contenuto"
"Invalid data provided","Dati non validi forniti"
"List of Content Items","Elenco degli elementi di contenuto"
Name,Nome
"Overview of Content Items","Panoramica degli elementi di contenuto"
"Overwrite default by specifying a different list per specific locale","Sovrascrivi predefinito specificando diversi elementi di contenuto per una specifica località"
"Overwrite default by specifying different content elements per specific locale","Sovrascrivi predefinito specificando diversi elementi di contenuto per una specifica località"
"Please select a content item","Seleziona un elemento di contenuto"
"Please select a template","Seleziona un modello"
Save,Salva
"Select a content item","Seleziona un elemento di contenuto"
"Select a template","Seleziona un modello"
Updated,Aggiornato
"Content item has been successfully created.","L'elemento di contenuto è stato creato con successo."
"Content item has been successfully updated.","L'elemento di contenuto è stato aggiornato con successo."
"Stock successfully updated","Stock aggiornato con successo."
"Move Up","Sposta su"
"Move Down","Sposta giù"
