"# of Other Labels","# de Outras Etiquetas"
"# of Products","# de Produtos"
Activate,Ativar
Active,Ativo
"Applied Products","Produtos Aplicados"
"Are you sure you want to delete this product label?","Tem certeza de que deseja excluir esta etiqueta de produto?"
"Assigned products","Produtos atribuídos"
"Available products","Produtos disponíveis"
"Back to Product Labels","Voltar para Etiquetas de Produto"
Behavior,Comportamento
Categories,Categorias
"Create a Product Label","Criar uma Etiqueta de Produto"
"Create Product Label","Criar Etiqueta de Produto"
"De-select all","Desmarcar todos"
Deactivated,Desativado
"Delete Product Label","Excluir Etiqueta de Produto"
Delete,Excluir
"Edit Product Label","Editar Etiqueta de Produto"
Edit,Editar
"Front-end Reference","Referência de Front-end"
General,Geral
ID,ID
"Is Active","Está Ativo"
"Is Dynamic","É Dinâmico"
"Is Exclusive","É Exclusivo"
"List of Product Labels","Lista de Etiquetas de Produto"
"Missing or wrong request data","Dados de solicitação ausentes ou incorretos"
N/A,N/A
Name,Nome
"No, I want to keep this product label","Não, quero manter esta etiqueta de produto"
No,Não
"Overview of Product Labels","Visão geral das Etiquetas de Produto"
"Prioritize Product Labels","Priorizar Etiquetas de Produto"
Priority,Prioridade
"Product label #%d successfully updated.","Etiqueta de produto #%d atualizada com sucesso."
"Product label #%d was successfully deleted.","Etiqueta de produto #%d foi excluída com sucesso."
"Product label priority updated successfully.","Prioridade da etiqueta de produto atualizada com sucesso."
"Product label removal confirmation","Confirmação de remoção da etiqueta de produto"
"Product Labels","Etiquetas de Produto"
"Products Applied to","Produtos Aplicados"
"Products for this label are assigned dynamically, you can't manage relations manually.","Os produtos para esta etiqueta são atribuídos dinamicamente, não é possível gerir as relações manualmente."
"Products to which this label applies","Produtos aos quais esta etiqueta se aplica"
Save,Guardar
"Select all","Selecionar todos"
"Selected products to assign","Produtos selecionados para atribuir"
"Selected products to de-assign","Produtos selecionados para desatribuir"
Settings,Definições
Status,Estado
"Store relation","Relação de loja"
Stores,Lojas
Translations,Traduções
"This product has already assigned to the given label","Este produto já foi atribuído à etiqueta fornecida"
"This product has not been assigned to the given label","Este produto não foi atribuído à etiqueta fornecida"
"Valid from","Válido de"
"Valid to","Válido até"
Validity,Validade
"View Product Label","Ver Etiqueta do Produto"
View,Ver
"Yes, delete this product label","Sim, eliminar esta etiqueta de produto"
Yes,Sim
"Product label #%d successfully created.","Etiqueta de produto #%d criada com sucesso."
"Number of Products","# de Produtos"
