"Addition to address","Adição ao Endereço"
"Average Delivery Time","Tempo Médio de Entrega"
"Banner URL","URL do Banner"
"Banner url","URL do banner"
"Cancellation Policy","Política de Cancelamento"
City,Cidade
"Contact Person","Pessoa de Contato"
Country,País
"Data Privacy","Privacidade de Dados"
Description,Descrição
"Fax number","Número de Fax"
"First Name","Primeiro Nome"
Imprint,Impressão
"Last Name","Último Nome"
Latitude,Latitude
"Legal Information","Informações Legais"
"Logo URL","URL do Logotipo"
Longitude,Longitude
"Merchant Profile","Perfil do Comerciante"
"Merchant Reference","Referência do Comerciante"
Number,Número
Phone,Telefone
"Public Email","E-mail Público"
"Public Phone","Telefone Público"
Role,Função
Street,Rua
"Terms and Conditions","Termos e Condições"
Title,Título
"Zip Code","Código Postal"
