"Add a file","إضافة ملف"
"Add MIME type","إضافة نوع MIME"
"Back to File Directory Elements","العودة إلى عناصر دليل الملفات"
"Back to File Tree","العودة إلى شجرة الملفات"
"Back to MIME type list","العودة إلى قائمة أنواع MIME"
Cancel,إلغاء
confirm,تأكيد
"Confirm deleting","تأكيد الحذف"
"Create Directory Element","إنشاء عنصر دليل"
"Create File Directory","إنشاء دليل الملفات"
Date,تاريخ
"Delete Directory","حذف الدليل"
"Directory element details","تفاصيل عنصر الدليل"
"Do you want to remove the folder with all files?","هل ترغب في إزالة المجلد مع جميع الملفات؟"
"Edit file","تحرير الملف"
"Edit MIME type","تحرير نوع MIME"
"Failed to delete MIME type","فشل في حذف نوع MIME"
"File Directory tree updated successfully.","تم تحديث شجرة ملف الدليل بنجاح."
"File List","قائمة الملفات"
"File Manager","مدير الملفات"
"File name","اسم الملف"
"File Tree","شجرة الملفات"
"File type","نوع الملف"
"File type is not allowed for uploading","نوع الملف غير مسموح بتحميله"
"File upload","تحميل الملف"
"File was not found","لم يتم العثور على الملف"
"Files list","قائمة الملفات"
"MIME type","نوع MIME"
"MIME type already exists","نوع MIME موجود بالفعل"
"MIME type settings","إعدادات نوع MIME"
"MIME type was successfully deleted","تم حذف نوع MIME بنجاح"
"MIME type was successfully saved","تم حفظ نوع MIME بنجاح"
Save,حفظ
"Save order","حفظ الطلب"
"Specify a file name or use real one","حدد اسم الملف"
"The file directory was added successfully.","تمت إضافة دليل الملف بنجاح"
"The file was added successfully.","تمت إضافة الملف بنجاح"
"The file was edited successfully.","تم تحرير الملف بنجاح"
"Upload a file","تحميل ملف"
"Upload a file or specify a new file name","تحميل ملف أو تحديد اسم ملف جديد"
"Use file name","استخدم اسم الملف"
"View file","عرض الملف"
"Is allowed",مسموح
"Add File","إضافة ملف"
"File Directories Tree","شجرة مجلدات الملف"
"Overview of File Tree","نظرة عامة على شجرة الملفات"
"You cannot remove the only version of the file.","لا يمكنك إزالة الإصدار الوحيد للملف"
"Available extensions for MIME type. Comma separated.","الامتدادات المتاحة لنوع MIME. مفصولة بفاصلة"
"There are no MIME types or extensions configured.","لا توجد أنواع MIME أو امتدادات مكونة."
