"Abstract product availability","توافر المنتج المجرد"
Actions,الإجراءات
Availability,التوافر
"Availability information for selected product - store pair does not exist.","لا توجد معلومات توافر للزوج المحدد (المنتج - المتجر)."
Available,متاح
"Available in stores","متاح في المتاجر"
"Back to product","العودة إلى المنتج"
"Current Stock","المخزون الحالي"
"Edit Stock","تحرير المخزون"
"Is never out of stock","لا ينفذ من المخزون أبدًا"
"List of product availability","قائمة توافر المنتج"
n/a,"غير متوفر"
Name,الاسم
No,لا
"Not available","غير متاح"
"Product Availability","توافر المنتج"
"Product availability list","قائمة توافر المنتج"
"Products Availability","توافر المنتجات"
"Quantity in Bundle","الكمية في الحزمة"
"Reserved Products","المنتجات المحجوزة"
Save,حفظ
SKU,"رمز المنتج"
"Variant availability","توافر الاصدار"
Yes,نعم
"Overview of Products Availability","نظرة عامة على توافر المنتجات"
"Is bundle product","هل هو منتج حزمة"
Store,المتجر
