"About Your Store",关于您的商店
"Addition to address",地址附加
"Average Delivery Time",平均交货时间
"Banner URL",横幅网址
"Business Info",业务信息
"Cancellation Policy",取消政策
City,城市
Company,公司
"Company Name",公司名称
"Contact Details & Address",联系方式和地址
"Contact Person",联系人详细信息
Country,国家
"Data Privacy",数据隐私
Description,描述
Dr,博士
Email,电子邮件
"Fax number",传真号码
"First Name",名字
Imprint,版权声明
"Is Active",是否激活
"Last Name",姓氏
Latitude,纬度
"Logo URL",商标网址
Longitude,经度
"Merchant Reference",商家参考
Mr,先生
Mrs,夫人
Ms,女士
Number,号码
"Online Profile",在线资料
"Store Status",商店状态
"Phone Number",电话号码
Profile,个人资料
profile.status.message.online,这意味着您的商店可以在线访问，人们可以看到它。
profile.status.message.offline,这意味着您的商店可以在线访问，人们可以看到它。
"Provide a logo URL",提供商标网址
"Provide a banner URL",提供横幅网址
"Provide Average Delivery Time",提供平均交货时间
"Provide Data Privacy",提供数据隐私
"Provide Imprint",提供版权声明
"Provide Cancellation Policy",提供取消政策
"Provide Terms & Conditions",提供条款和条件
"Provide the URL of your Store",提供您的商店的URL
"Registration number",注册号
Role,角色
Save,保存
select.default.placeholder,选择
"Store Profile URL",商店配置文件URL
store.state.online,您的商店已上线
store.state.offline,您的商店已上线
Street,街道
"Tell us about your store",告诉我们关于您的商店
"Terms & Conditions",条款和条件
"The Profile has been changed successfully.",配置文件已成功更改。
Title,标题
"Your Store is online",您的商店已上线
"Visual assets",视觉资产
"Zip Code",邮政编码
Stores,商店
