"Add New User","Nieuwe gebruiker toevoegen"
"Add User","Gebruiker toevoegen"
"Assign Customers","Klanten toewijzen"
Create,Creëren
"Edit User","Gebruiker bewerken"
"General Information","Algemene informatie"
"List Users","Lijst van gebruikers"
"Repeat Password","Herhaal wachtwoord"
Save,Opslaan
Update,Bijwerken
"Last Login","Laatste login"
"User entity was not created.","Gebruikersentiteit is niet aangemaakt."
"User entity was not updated.","Gebruikersentiteit is niet bijgewerkt."
"User was not activated.","Gebruiker is niet geactiveerd."
"User was not deactivated.","Gebruiker is niet gedeactiveerd."
"User was not deleted.","Gebruiker is niet verwijderd."
User,Gebruiker
"Create new User","Nieuwe gebruiker aanmaken"
"Create user","Gebruiker aanmaken"
Warning,Waarschuwing
"Delete User","Gebruiker verwijderen"
"You are trying to delete user","Je probeert gebruiker te verwijderen"
"Root group",Hoofdgroep
E-mail,E-mail
