"Table name is not allowed for dynamic entity. Table: %s","Tabelnaam is niet toegestaan voor dynamische entiteit. Tabel: %s"
"Table name or table alias is not unique for dynamic entity. Table: %s","Tabelnaam of tabelalias is niet uniek voor dynamische entiteit. Tabel: %s"
"Table name is not unique for dynamic entity. Table: %s","Tabelnaam is niet uniek voor dynamische entiteit. Tabel: %s"
"Table alias is not unique for dynamic entity. Table: %s","Tabelalias is niet uniek voor dynamische entiteit. Tabel: %s"
"Validation rule `isRequired` must be set for boolean field type.","Validatieregel 'isRequired' moet worden ingesteld voor het booleaanse veldtype."
"Validation setting `isRequired` must be set for `decimal` field type.","Validatie-instelling 'isRequired' moet worden ingesteld voor het 'decimal' veldtype."
"Validation setting `scale` must be less than `precision` for `decimal` field type.","Validatie-instelling 'scale' moet kleiner zijn dan 'precision' voor het 'decimal' veldtype."
"Validation setting `isRequired` must be set for `integer` field type.","Validatie-instelling 'isRequired' moet worden ingesteld voor het 'integer' veldtype."
"Validation setting `min` must be less than `max` for `integer` field type.","Validatie-instelling 'min' moet kleiner zijn dan 'max' voor het 'integer' veldtype."
"Validation setting `isRequired` must be set for `string` field type.","Validatie-instelling 'isRequired' moet worden ingesteld voor het 'string' veldtype."
"Validation setting `minLength` must be less than `maxLength` for `string` field type.","Validatie-instelling 'minLength' moet kleiner zijn dan 'maxLength' voor het 'string' veldtype."
"Field type is not allowed for dynamic entity. Type: %s","Veldtype is niet toegestaan voor dynamische entiteit. Type: %s"
"Identifier is required for dynamic entity configuration.","Identifier is vereist voor dynamische entiteitsconfiguratie."
"Identifier is not defined in field definitions.","Identifier is niet gedefinieerd in velddefinities."
"Field definition `type` is required for dynamic entity configuration.","Velddefinitie 'type' is vereist voor dynamische entiteitsconfiguratie."
"Field definition `fieldName` is required for dynamic entity configuration.","Velddefinitie 'fieldName' is vereist voor dynamische entiteitsconfiguratie."
"Field definition `fieldVisibleName` is required for dynamic entity configuration.","Velddefinitie 'fieldVisibleName' is vereist voor dynamische entiteitsconfiguratie."
"Field definition `isCreatable` is required for dynamic entity configuration.","Velddefinitie 'isCreatable' is vereist voor dynamische entiteitsconfiguratie."
"Field definition `isEditable` is required for dynamic entity configuration.","Velddefinitie 'isEditable' is vereist voor dynamische entiteitsconfiguratie."
"Resource name `%s` is not valid. Allowed characters: a-z, A-Z, 0-9, _ and - ","Bronnaam '%s' is niet geldig. Toegestane tekens: a-z, A-Z, 0-9, _ en -."
