"Addition to address","Adición a la dirección"
"Average Delivery Time","Tiempo promedio de entrega"
"Banner URL","URL del banner"
"Banner url","URL del banner"
"Cancellation Policy","Política de cancelación"
City,Ciudad
"Contact Person","Persona de contacto"
Country,País
"Data Privacy","Privacidad de datos"
Description,Descripción
"Fax number","Número de fax"
"First Name",Nombre
Imprint,"Aviso legal"
"Last Name",Apellido
Latitude,Latitud
"Legal Information","Información legal"
"Logo URL","URL del logotipo"
Longitude,Longitud
"Merchant Profile","Perfil del comerciante"
"Merchant Reference","Referencia del comerciante"
Number,Número
Phone,Teléfono
"Public Email","Correo electrónico público"
"Public Phone","Teléfono público"
Role,Rol
Street,Calle
"Terms and Conditions","Términos y condiciones"
Title,Título
"Zip Code","Código postal"
