"Add attribute to search","Adicionar atributo à pesquisa"
"Attribute key","Chave do atributo"
"Attribute key is already used","A chave do atributo já está em uso"
"Attribute to search was added successfully.","O atributo de pesquisa foi adicionado com sucesso."
"Attribute to search was successfully deactivated.","O atributo de pesquisa foi desativado com sucesso."
"Attribute to search was successfully updated.","O atributo de pesquisa foi atualizado com sucesso."
"Attribute with id %s doesn't exist","O atributo com o ID %s não existe"
"Category Filters","Filtros de categoria"
"Completion terms","Termos de conclusão"
"Create filter","Criar filtro"
Delete,Excluir
Edit,Editar
"Edit filter order","Editar ordem do filtro"
"Edit search preferences","Editar preferências de pesquisa"
"Edit Search Preferences","Editar preferências de pesquisa"
"Filter name","Nome do filtro"
"Filter position","Posição do filtro"
"Filter Preferences","Preferências de filtro"
"Filter preference was created successfully.","A preferência de filtro foi criada com sucesso."
"Filter preference was updated successfully.","A preferência de filtro foi atualizada com sucesso."
"Filter preferences synchronization was successful.","A sincronização das preferências de filtro foi bem-sucedida."
"Filter successfully deleted.","Filtro excluído com sucesso."
"Filter type","Tipo de filtro"
"Full text","Texto completo"
"Full text boosted","Texto completo com destaque"
"General Information","Informações gerais"
"Include for completion","Incluído para conclusão"
"Include for full text","Incluído para texto completo"
"Include for full text boosted","Incluído para texto completo com destaque"
"Include for suggestion","Incluído para sugestão"
"List of filters","Lista de filtros"
"List of search preferences","Lista de preferências de pesquisa"
multi-select,multi-seleção
range,intervalo
Save,Salvar
"Save Order","Salvar ordem"
"Search and Filters","Pesquisa e Filtros"
"Search Preferences","Preferências de pesquisa"
"Search preferences","Preferências de pesquisa"
"Search preferences synchronization was successful.","A sincronização das preferências de pesquisa foi bem-sucedida."
single-select,"Seleção única"
"Suggestion terms","Termos de sugestão"
"Synchronize filter preferences","Sincronizar preferências de filtro"
"Synchronize search preferences","Sincronizar preferências de pesquisa"
"This field contains illegal characters. It should contain only lower case letters, digits, numbers, underscores (""_""), hyphens (""-"") and colons ("":"").","Este campo contém caracteres ilegais. Deve conter apenas letras minúsculas, dígitos, números, sublinhados (""_""), hífens (""-"") e dois pontos ("":"")."
Translations,Traduções
"Type first three letters of an existing attribute key for suggestions.","Digite as três primeiras letras de uma chave de atributo existente para sugestões."
"View Filter","Ver Filtro"
"Deactivate all","Desativar todos"
"Create Filter","Criar Filtro"
"Edit filter","Editar filtro"
