Actions,Ações
Active,Ativo
Administration,Administração
"Available in store","Disponível na loja"
"Available in the following store(s)","Disponível na(s) seguinte(s) loja(s)"
Configuration,Configuração
"Create Warehouse","Criar Armazém"
"Edit Warehouse","Editar Armazém"
Inactive,Inativo
"Is this warehouse available?","Este armazém está disponível?"
Name,Nome
No,Não
Status,Status
"Stock not found","Estoque não encontrado"
"Store relation","Relação com a loja"
"Store Relation","Relação com a loja"
"This name is already in use.","Este nome já está em uso."
View,Visualizar
"View Warehouse: ","Visualizar Armazém: "
"Warehouse has been successfully saved","O armazém foi salvo com sucesso"
"Warehouse has been successfully updated","O armazém foi atualizado com sucesso"
"Warehouse ID","ID do Armazém"
Warehouses,Armazéns
Yes,Sim
