"Add Company",添加公司
Approved,已批准
"Back to Companies",返回公司
Company,公司
Companies,公司
"Company has been activated.",公司已激活。
"Company has been approved.",公司已批准。
"Company has been created.",公司已创建。
"Company has been deactivated.",公司已停用。
"Company has been denied.",公司已被拒绝。
"Company has been updated.",公司已更新。
"Company has not been created.",公司尚未创建。
"Company has not been updated.",公司尚未更新。
"Company Id",公司编号
"Create Company",创建公司
Denied,拒绝
Deny,拒绝
"Edit Company",编辑公司
"List of Companies",公司列表
"Overview of Companies",公司概览
Save,保存
Pending,待定
"Company name",公司名称
"Select company",选择公司
