Activate,Activer
"Add a Cms block","Ajouter un bloc CMS"
"Add a Cms page","Ajouter une page CMS"
"Add CMS Block","Ajouter un bloc CMS"
"Add CMS Page","Ajouter une page CMS"
"Add CMS Redirect","Ajouter une redirection CMS"
"Back to CMS","Retour à CMS"
"CMS blocks","Blocs CMS"
Deactivate,Désactiver
"Delete CMS Block","Supprimer le bloc CMS"
"Delete CMS Page","Supprimer la page CMS"
"Edit a Cms Block","Modifier un bloc CMS"
"Edit a Cms page","Modifier une page CMS"
"From Url","À partir de l'URL"
"ID redirect URL is not set.","L'URL de redirection de l'ID n'est pas définie."
Loading...,"Chargement en cours..."
"New template(s) detected and added to the template list.","Nouveaux modèles détectés et ajoutés à la liste des modèles."
"Redirect status code","Code de statut de redirection"
"Redirect was created successfully.","La redirection a été créée avec succès."
"Redirect was deleted successfully.","La redirection a été supprimée avec succès."
"Redirect was updated successfully.","La redirection a été mise à jour avec succès."
Redirects,Redirections
Save,Enregistrer
"Save All","Tout enregistrer"
"To Url","Vers l'URL"
"URL is already used.","L'URL est déjà utilisée."
"URL must start with a slash","L'URL doit commencer par un slash"
"Create new CMS Redirect","Créer une nouvelle redirection CMS"
"Please select","Veuillez sélectionner"
"Edit CMS Redirect","Modifier la redirection CMS"
"URL's second character cannot be slash","Le deuxième caractère de l'URL ne peut pas être un slash"
"URL cannot contain backslash sign, you can use '%5C' instead","L'URL ne peut pas contenir de signe de barre oblique inverse, vous pouvez utiliser '%5C' à la place"
