Attributes,Attributi
Categories,Categorie
Currencies,Valute
Currency,Valuta
Default,Predefinito
Description,Descrizione
Image,Immagine
"Image Set","Set di immagini"
Images,Immagini
"Manage Product","Gestisci prodotto"
Name,Nome
Offline,Offline
Online,Online
"Approval Status","Stato di approvazione"
waiting_for_approval,"In attesa di approvazione"
approved,Approvato
denied,Negato
draft,Bozza
approval_status_action.approved,Approva
approval_status_action.denied,Nega
approval_status_action.draft,"Torna alla bozza"
approval_status_action.waiting_for_approval,"Invia per approvazione"
"Product successfully created!","Prodotto creato con successo!"
"Please resolve all errors.","Risolvere tutti gli errori."
Price,Prezzo
Products,Prodotti
"Product Details","Dettagli prodotto"
"Provide a name","Fornisci un nome"
"Provide description","Fornisci una descrizione"
Save,Salva
Select,Seleziona
"Select Stores","Seleziona negozi"
"Select Tax Set","Seleziona set di tasse"
"Select Categories","Seleziona categorie"
SKU,SKU
"Search by SKU, Name","Cerca per SKU, Nome"
Store,Negozio
Stores,Negozi
"Super Attributes","Attributi speciali"
"Tax Set","Set di tasse"
"The Product is saved.","Il prodotto è salvato."
"The value cannot be empty. Please fill in this input.","Il valore non può essere vuoto. Si prega di compilare questo input."
Variants,Varianti
Visibility,Visibilità
"Success! The Price is deleted.","Successo! Il prezzo è eliminato."
"Something went wrong, please try again.","Qualcosa è andato storto, si prega di riprovare."
"Product prices saved successfully.","Prezzi del prodotto salvati con successo."
Net,Netto
Gross,Lordo
Delete,Elimina
Add,Aggiungi
Active,Attivo
Inactive,Inattivo
Search,Ricerca
Status,Stato
"Valid From","Valido dal"
"Valid To","Valido fino al"
Validity,Validità
"Validity Dates & Time","Date e orari di validità"
"Enabling an option below will overwrite the existing input.","Abilitare una delle opzioni di seguito sovrascriverà l'input esistente."
"Bulk edit %number% variants","Modifica in blocco %number% varianti"
"The first date cannot be later than the second one.","La prima data non può essere successiva alla seconda."
"The first date is the same as the second one.","La prima data è uguale alla seconda."
"The second date cannot be earlier than the first one.","La seconda data non può essere precedente alla prima."
From,Da
To,A
"Bulk edit","Modifica in blocco"
Searchability,Ricercabilità
