"Add note","إضافة ملاحظة"
"Days left:","الأيام المتبقية:"
Discontinue,إيقاف
Discontinued,متوقف
Restore,استعادة
"Will be deactivated on:","سيتم تعطيله في:"
"Discontinue Product","إيقاف المنتج"
"You can discontinue a product on this tab and add a note - why this product is discontinued.","يمكنك إيقاف منتج على هذه العلامة وإضافة ملاحظة - لماذا تم إيقاف هذا المنتج."
"Note: Discontinued products will still be visible in the shop and have stock, but it will not be possible to buy it.","ملاحظة: ستظل المنتجات المتوقفة مرئية في المتجر وتحتوي على مخزون، ولكن لن يكون من الممكن شراؤها."
"Product has been marked as discontinued.","تم وضع علامة على المنتج كمتوقف."
"Product has been unmarked as discontinued.","تم إلغاء تصنيف المنتج كمنتج متوقف."
