Approved,Aprovado
"Back to CMS","Voltar para o CMS"
"Back to list","Voltar para a lista"
"Block Id","ID do Bloco"
Blocks,Blocos
"Categories: bottom","Categorias: inferior"
"Categories: middle","Categorias: meio"
"Categories: top","Categorias: superior"
"Category list","Lista de categorias"
"CMS Block","Bloco CMS"
"CMS Block was created successfully.","Bloco CMS criado com sucesso."
"CMS Block was deactivated successfully.","Bloco CMS desativado com sucesso."
"CMS Block was updated successfully.","Bloco CMS atualizado com sucesso."
Content,Conteúdo
"Create block","Criar bloco"
"Create CMS Block","Criar Bloco CMS"
"Edit block","Editar bloco"
"Edit Block Glossary:","Editar Glossário de Bloco:"
"Edit CMS Block:","Editar Bloco CMS:"
"Edit placeholders","Editar espaços reservados"
"Invalid data provided.","Dados inválidos fornecidos."
"Is active:","Está ativo:"
"List of CMS blocks","Lista de blocos CMS"
"Missing placeholders for selected template.","Espaços reservados ausentes para o modelo selecionado."
n/a,n/a
Name,Nome
no,Não
"Overview of CMS Blocks","Visão geral dos blocos CMS"
"Placeholder translations successfully updated.","Traduções de espaços reservados atualizadas com sucesso."
"Product list","Lista de produtos"
Sales,Vendas
Save,Salvar
"Selected template doesn't exist anymore","O modelo selecionado não existe mais"
"Selected template doesn't exist anymore.","O modelo selecionado não existe mais."
"Store relation","Relação de loja"
Template,Modelo
Template:,Modelo:
"Translation key:","Chave de tradução:"
"Valid from","Válido a partir de"
"Valid from:","Válido a partir de (incluído):"
"Valid to","Válido até"
"Valid to:","Válido até (excluído):"
"View CMS Block:","Ver Bloco CMS:"
yes,Sim
"Create new CMS Block","Criar novo Bloco CMS"
"CMS content widgets usage information","Informações de uso de widgets de conteúdo CMS"
"CMS Block was activated successfully.","Bloco CMS ativado com sucesso."
"Edit Placeholder","Editar Espaço Reservado"
"Edit Block","Editar Bloco"
"Edit CMS Block Glossary","Editar Glossário de Bloco CMS"
