"Add Company","إضافة شركة"
Approved,"تمت الموافقة عليه"
"Back to Companies","العودة إلى الشركات"
Company,شركة
Companies,الشركات
"Company has been activated.","تم تفعيل الشركة"
"Company has been approved.","تمت الموافقة على الشركة"
"Company has been created.","تم إنشاء الشركة"
"Company has been deactivated.","تم إلغاء تفعيل الشركة"
"Company has been denied.","تم رفض الشركة"
"Company has been updated.","تم تحديث الشركة."
"Company has not been created.","لم يتم إنشاء الشركة."
"Company has not been updated.","لم يتم تحديث الشركة."
"Company Id","معرف الشركة"
"Create Company","إنشاء شركة"
Denied,مرفوض
Deny,رفض
"Edit Company","تعديل الشركة"
"List of Companies","قائمة الشركات"
"Overview of Companies","نظرة عامة على الشركات"
Save,حفظ
Pending,"قيد الانتظار"
"Company name","اسم الشركة"
"Select company","اختر الشركة"
