"%s header(s) is missing in uploaded csv file","Falta %s encabezado(s) en el archivo CSV cargado"
"Abstract product was not found by provided sku %s.","No se encontró el producto abstracto por el sku proporcionado %s."
Actions,Acciones
"An identical scheduled price already exists for this product.","Ya existe un precio programado idéntico para este producto."
"Are you sure about deleting the Scheduled prices %s?","¿Estás seguro de eliminar los precios programados %s?"
"Are you sure about deleting this scheduled price?","¿Estás seguro de eliminar este precio programado?"
"By clicking the ""Publish"" button below, you will send the scheduled prices to the live system.","Al hacer clic en el botón ""Publicar"" a continuación, enviarás los precios programados al sistema en vivo."
"Concrete product was not found by provided sku %s.","No se encontró el producto concreto por el sku proporcionado %s."
"Currency was not found by provided iso code %s.","No se encontró la moneda por el código ISO proporcionado %s."
"Dates must be in right format and to date must be greater than from.","Las fechas deben tener el formato correcto y la fecha de finalización debe ser mayor que la de inicio."
Delete,Eliminar
Download,Descargar
Draft,Borrador
"Dry run of your import","Prueba en seco de tu importación"
Edit,Editar
"Eg: Christmas sales, etc.","Ej: Ventas de Navidad, etc."
Error,Error
"Errors found inside your file","Se encontraron errores dentro de tu archivo"
"Finish at must be greater than start from","La fecha de finalización debe ser mayor que la de inicio"
"Gross and Net Amount must be a positive integer.","El monto bruto y neto debe ser un número entero positivo."
"If you want to retry your import with corrected data, use ""Import your csv file"" button.","Si deseas volver a intentar tu importación con datos corregidos, utiliza el botón ""Importar tu archivo CSV""."
Import,Importar
"Import ID","ID de importación"
"Import n","Importar n"
"Import new scheduled prices","Importar nuevos precios programados"
"Import Scheduled Prices","Importar precios programados"
"Import your CSV file","Importa tu archivo CSV"
"Imported by and on the","Importado por y el"
"Imported by on the","Importado por el"
"Importing a lot of scheduled prices can take some time.","Importar una gran cantidad de precios programados puede llevar tiempo."
"Learn about file format on our documentation","Obtén información sobre el formato de archivo en nuestra documentación"
Name,Nombre
"No prices have been processed. You may have only errors inside your file or no prices were defined inside.","No se han procesado precios. Puede haber errores en tu archivo o no se han definido precios."
"No, I want to keep this price","No, quiero mantener este precio"
"Number of prices","Número de precios"
"Number of products","Número de productos"
"One Product Abstract Sku or Product Concrete Sku must be provided.","Debe proporcionarse un SKU de producto abstracto o SKU de producto concreto."
"Price type was not found by provided sku %s.","Tipos de precio no encontrados por el SKU proporcionado %s."
Prices,Precios
"Publish the scheduled prices","Publicar los precios programados"
Published,Publicado
"Row n°","Fila nº"
"Row processed with success","Fila procesada con éxito"
"Schedule name","Nombre de la programación"
"Schedule price haven not been saved","El precio de la programación no se ha guardado"
"Scheduled price already exists.","El precio de la programación ya existe."
"Scheduled price has been successfully saved","El precio de la programación se ha guardado correctamente"
"Scheduled price list was successfully removed","La lista de precios programados se eliminó correctamente"
"Scheduled Prices","Precios programados"
"Scheduled prices inside import","Precios programados en la importación"
"Scheduled Prices: Import dry run","Precios programados: Simulación de importación"
"Select your CSV file","Seleccione su archivo CSV"
Status,Estado
"Store was not found by provided name %s.","No se encontró la tienda con el nombre proporcionado %s."
"The timezone used for the scheduled price will be %s as defined on the store selected","La zona horaria utilizada para el precio programado será %s según lo definido en la tienda seleccionada"
"They will be available to your customers based on the dates","Estarán disponibles para sus clientes según las fechas"
"Via data import","A través de la importación de datos"
View,Ver
"Yes, delete this price","Sí, eliminar este precio"
"Yes, delete those prices","Sí, eliminar esos precios"
"No, I want to keep those prices","No, quiero mantener esos precios"
"Delete Import","Eliminar importación"
"You will delete %d prices for %d products. Is this what you want?","Eliminará %d precios para %d productos. ¿Es esto lo que desea?"
"You will find below the list errors and successfully processed rows inside your import file.","A continuación, encontrará la lista de errores y las filas procesadas correctamente en su archivo de importación."
"Your file does not contain any errors.","Su archivo no contiene errores."
"Your prices are now available to your custoers based on their start and end date.","Sus precios ahora están disponibles para sus clientes según su fecha de inicio y finalización."
"Your prices are now available to your customers based on their start and end date.","Sus precios ahora están disponibles para sus clientes según su fecha de inicio y finalización."
"Your scheduled prices have been published","Sus precios programados se han publicado"
"Price type","Tipo de precio"
"Start from (included)","Comienza desde (incluido)"
"Finish at (included)","Termina en (incluido)"
"You can define a price for the product that will take effect at a date and time in the future. You can define multiple prices on the same period.","Puede definir un precio para el producto que entrará en vigencia en una fecha y hora futuras. Puede definir varios precios en el mismo período."
"Import via CSV file","Importar mediante archivo CSV"
"Add scheduled price","Agregar precio programado"
"Scheduled prices inside this import","Precios programados en esta importación"
"View Import","Ver importación"
"Edit Import","Editar importación"
"Edit Scheduled Price","Editar precio programado"
"Scheduled price information","Información del precio programado"
"Scheduled price was successfully removed","El precio programado se eliminó correctamente."
"Choose store","Elige tienda"
"Choose currency","Elige moneda"
"Net price or gross price must be filled","El precio neto o el precio bruto deben ser completados"
"Scheduled prices imported","Precios programados importados"
"The timezone used for the scheduled price will be <b class=""timezone""></b> as defined on the store selected","La zona horaria utilizada para el precio programado será <b class=""timezone""></b> según lo definido en la tienda seleccionada"
