"Addition to address","Aggiunta all'indirizzo"
"Average Delivery Time","Tempo medio di consegna"
"Banner URL","URL del banner"
"Banner url","URL del banner"
"Cancellation Policy","Politica di cancellazione"
City,Città
"Contact Person","Persona di contatto"
Country,Paese
"Data Privacy","Privacy dei dati"
Description,Descrizione
"Fax number","Numero di fax"
"First Name",Nome
Imprint,Impronta
"Last Name",Cognome
Latitude,Latitudine
"Legal Information","Informazioni legali"
"Logo URL","URL del logo"
Longitude,Longitudine
"Merchant Profile","Profilo del commerciante"
"Merchant Reference","Riferimento del commerciante"
Number,Numero
Phone,Telefono
"Public Email","Email pubblica"
"Public Phone","Telefono pubblico"
Role,Ruolo
Street,Via
"Terms and Conditions","Termini e condizioni"
Title,Titolo
"Zip Code","Codice postale"
