"%s header(s) is missing in uploaded csv file","%s en-tête(s) manque(nt) dans le fichier csv téléchargé"
"Abstract product was not found by provided sku %s.","Le produit abstrait n'a pas été trouvé avec le sku fourni %s."
Actions,Actions
"An identical scheduled price already exists for this product.","Un prix programmé identique existe déjà pour ce produit."
"Are you sure about deleting the Scheduled prices %s?","Êtes-vous sûr de vouloir supprimer les prix programmés %s ?"
"Are you sure about deleting this scheduled price?","Êtes-vous sûr de vouloir supprimer ce prix programmé ?"
"By clicking the ""Publish"" button below, you will send the scheduled prices to the live system.","En cliquant sur le bouton ""Publier"" ci-dessous, vous enverrez les prix programmés vers le système en direct."
"Concrete product was not found by provided sku %s.","Le produit concret n'a pas été trouvé avec le sku fourni %s."
"Currency was not found by provided iso code %s.","La devise n'a pas été trouvée avec le code iso fourni %s."
"Dates must be in right format and to date must be greater than from.","Les dates doivent être au bon format et la date de fin doit être supérieure à la date de début."
Delete,Supprimer
Download,Télécharger
Draft,Brouillon
"Dry run of your import","Essai à sec de votre importation"
Edit,Modifier
"Eg: Christmas sales, etc.","Exemple : Soldes de Noël, etc."
Error,Erreur
"Errors found inside your file","Erreurs trouvées dans votre fichier"
"Finish at must be greater than start from","La date de fin doit être supérieure à la date de début"
"Gross and Net Amount must be a positive integer.","Le montant brut et net doit être un entier positif."
"If you want to retry your import with corrected data, use ""Import your csv file"" button.","Si vous souhaitez réessayer votre importation avec des données corrigées, utilisez le bouton ""Importer votre fichier csv""."
Import,Importer
"Import ID","ID d'importation"
"Import n","Importation n"
"Import new scheduled prices","Importer de nouveaux prix programmés"
"Import Scheduled Prices","Importer les prix programmés"
"Import your CSV file","Importer votre fichier CSV"
"Imported by and on the","Importé par et le"
"Imported by on the","Importé par le"
"Importing a lot of scheduled prices can take some time.","L'importation de nombreux prix programmés peut prendre du temps."
"Learn about file format on our documentation","Apprenez-en plus sur le format de fichier dans notre documentation"
Name,Nom
"No prices have been processed. You may have only errors inside your file or no prices were defined inside.","Aucun prix n'a été traité. Vous pouvez avoir des erreurs dans votre fichier ou aucun prix n'a été défini."
"No, I want to keep this price","Non, je veux conserver ce prix"
"Number of prices","Nombre de prix"
"Number of products","Nombre de produits"
"One Product Abstract Sku or Product Concrete Sku must be provided.","Un SKU de produit abstrait ou un SKU de produit concret doit être fourni."
"Price type was not found by provided sku %s.","Le type de prix n'a pas été trouvé avec le sku fourni %s."
Prices,Prix
"Publish the scheduled prices","Publier les prix programmés"
Published,Publié
"Row n°","Ligne n°"
"Row processed with success","Ligne traitée avec succès"
"Schedule name","Nom de l'horaire"
"Schedule price haven not been saved","Le prix de l'horaire n'a pas été enregistré"
"Scheduled price already exists.","Le prix de l'horaire existe déjà."
"Scheduled price has been successfully saved","Le prix de l'horaire a été enregistré avec succès"
"Scheduled price list was successfully removed","La liste des prix de l'horaire a été supprimée avec succès"
"Scheduled Prices","Prix de l'horaire"
"Scheduled prices inside import","Prix de l'horaire dans l'importation"
"Scheduled Prices: Import dry run","Prix de l'horaire : Exécution à blanc"
"Select your CSV file","Sélectionnez votre fichier CSV"
Status,Statut
"Store was not found by provided name %s.","Le magasin n'a pas été trouvé avec le nom fourni %s."
"The timezone used for the scheduled price will be %s as defined on the store selected","Le fuseau horaire utilisé pour le prix de l'horaire sera %s tel que défini dans le magasin sélectionné"
"They will be available to your customers based on the dates","Ils seront disponibles pour vos clients en fonction des dates"
"Via data import","Via l'importation de données"
View,Afficher
"Yes, delete this price","Oui, supprimer ce prix"
"Yes, delete those prices","Oui, supprimer ces prix"
"No, I want to keep those prices","Non, je veux conserver ces prix"
"Delete Import","Supprimer l'importation"
"You will delete %d prices for %d products. Is this what you want?","Vous allez supprimer %d prix pour %d produits. Est-ce bien ce que vous voulez?"
"You will find below the list errors and successfully processed rows inside your import file.","Vous trouverez ci-dessous la liste des erreurs et des lignes traitées avec succès dans votre fichier d'importation."
"Your file does not contain any errors.","Votre fichier ne contient aucune erreur."
"Your prices are now available to your custoers based on their start and end date.","Vos prix sont maintenant disponibles pour vos clients en fonction de leur date de début et de fin."
"Your prices are now available to your customers based on their start and end date.","Vos prix sont maintenant disponibles pour vos clients en fonction de leur date de début et de fin."
"Your scheduled prices have been published","Vos prix de l'horaire ont été publiés"
"Price type","Type de prix"
"Start from (included)","À partir de (inclus)"
"Finish at (included)","Jusqu'à (inclus)"
"You can define a price for the product that will take effect at a date and time in the future. You can define multiple prices on the same period.","Vous pouvez définir un prix pour le produit qui entrera en vigueur à une date et une heure ultérieure. Vous pouvez définir plusieurs prix sur la même période."
"Import via CSV file","Importation via fichier CSV"
"Add scheduled price","Ajouter un prix de l'horaire"
"Scheduled prices inside this import","Prix de l'horaire dans cette importation"
"View Import","Afficher l'importation"
"Edit Import","Modifier l'importation"
"Edit Scheduled Price","Modifier le prix de l'horaire"
"Scheduled price information","Informations sur le prix de l'horaire"
"Scheduled price was successfully removed","Le prix de l'horaire a été supprimé avec succès."
"Choose store","Choisissez le magasin"
"Choose currency","Choisissez la devise"
"Net price or gross price must be filled","Le prix net ou le prix brut doit être rempli"
"Scheduled prices imported","Les prix programmés importés"
"The timezone used for the scheduled price will be <b class=""timezone""></b> as defined on the store selected","Le fuseau horaire utilisé pour le prix programmé sera <b class=""timezone""></b> tel que défini sur le magasin sélectionné"
