Attributes,السمات
Categories,الفئات
Currencies,العملات
Currency,العملة
Default,الافتراضي
Description,الوصف
Image,الصورة
"Image Set","مجموعة الصور"
Images,الصور
"Manage Product","إدارة المنتج"
Name,الاسم
Offline,"غير متصل"
Online,متصل
"Approval Status","حالة الموافقة"
waiting_for_approval,"في انتظار الموافقة"
approved,"تمت الموافقة"
denied,"تم الرفض"
draft,مسودة
approval_status_action.approved,الموافقة
approval_status_action.denied,الرفض
approval_status_action.draft,"العودة إلى المسودة"
approval_status_action.waiting_for_approval,"إرسال للموافقة"
"Product successfully created!","تم إنشاء المنتج بنجاح!"
"Please resolve all errors.","يرجى حل جميع الأخطاء."
Price,السعر
Products,المنتجات
"Product Details","تفاصيل المنتج"
"Provide a name","يرجى تقديم اسم"
"Provide description","يرجى تقديم وصف"
Save,حفظ
Select,اختر
"Select Stores","اختر المتاجر"
"Select Tax Set","اختر مجموعة الضرائب"
"Select Categories","اختر الفئات"
SKU,SKU
"Search by SKU, Name","البحث حسب SKU، الاسم"
Store,المتجر
Stores,المتاجر
"Super Attributes","السمات الفائقة"
"Tax Set","مجموعة الضرائب"
"The Product is saved.","تم حفظ المنتج."
"The value cannot be empty. Please fill in this input.","لا يمكن أن يكون القيمة فارغة. يرجى ملء هذا الإدخال."
Variants,المتغيرات
Visibility,الرؤية
"Success! The Price is deleted.","تم حذف السعر بنجاح."
"Something went wrong, please try again.","حدث خطأ ما، يرجى المحاولة مرة أخرى."
"Product prices saved successfully.","تم حفظ أسعار المنتج بنجاح."
Net,صافي
Gross,إجمالي
Delete,حذف
Add,إضافة
Active,نشط
Inactive,"غير نشط"
Search,بحث
Status,الحالة
"Valid From","صالح من"
"Valid To","صالح إلى"
Validity,الصلاحية
"Validity Dates & Time","تواريخ ووقت الصلاحية"
"Enabling an option below will overwrite the existing input.","تمكين الخيار أدناه سيستبدل الإدخال الحالي."
"Bulk edit %number% variants","تحرير السائبة %number% البدائل"
"The first date cannot be later than the second one.","لا يمكن أن يكون التاريخ الأول في وقت لاحق من الثاني."
"The first date is the same as the second one.","التاريخ الأول هو نفسه الثاني."
"The second date cannot be earlier than the first one.","لا يمكن أن يكون التاريخ الثاني في وقت سابق من الأول."
From,من
To,إلى
"Bulk edit","تحرير السائبة"
Searchability,"قابلية البحث"
"Use Abstract Product prices","استخدام أسعار المنتجات المجردة"
"Select Locales","تحديد اللغات"
Stock,المخزون
Quantity,الكمية
"Always in stock","دائمًا في المخزون"
"Enter quantity","أدخل الكمية"
"Reserved Stock","المخزون المحجوز"
"This concrete product is not owned by this merchant.","هذا المنتج الخرساني ليس مملوكًا لهذا التاجر."
"Create Abstract Product","إنشاء منتج مجرد"
English,الإنجليزية
German,الألمانية
"The rest of the locales will be defined once the product has been created.","سيتم تحديد بقية اللغات بمجرد إنشاء المنتج."
"Create an Abstract Product","إنشاء منتج مجرد"
"with 1 Concrete Product","مع منتج ملموس واحد"
"Autogenerate SKU","توليد تلقائي لرمز المنتج"
"Same as Abstract Product","نفس المنتج المجرد"
"Concrete Products’ Preview","معاينة المنتجات الملموسة"
"with multiple Concrete Products","مع عدة منتجات ملموسة"
"Super Attribute","سمة فائقة"
Values,القيم
"No concretes created yet","لم يتم إنشاء منتجات ملموسة بعد"
"to be created","ليتم إنشاؤها"
"Autogenerate SKUs","توليد تلقائي لأرقام SKU"
"Same Name as Abstract Product","نفس الاسم كمنتج مجرد"
"Super attribute value","قيمة سوبر السمة"
"Name default","الاسم الافتراضي"
"Invalid value provided. Please use only alphanumeric characters and . - _","القيمة غير صالحة المقدمة. يرجى استخدام الأحرف الأبجدية الرقمية و . - _ فقط"
