"Back to Tax Rates","Torna alle aliquote fiscali"
"Back to Tax Sets","Torna ai set di tasse"
"Could not delete tax set. Is it assigned to product or shipping method?","Impossibile eliminare il set di tasse. È assegnato a un prodotto o a un metodo di spedizione?"
Country,Paese
"Create Tax Rate","Crea aliquota fiscale"
"Create Tax Set","Crea set di tasse"
"Created at","Creato il"
Delete,Elimina
"Delete Tax Rate","Elimina aliquota fiscale"
"Delete Tax Set","Elimina set di tasse"
Edit,Modifica
"Edit Tax Rate:","Modifica aliquota fiscale:"
"Edit Tax Set:","Modifica set di tasse:"
"List of tax rates","Elenco delle aliquote fiscali"
"List of tax sets","Elenco dei set di tasse"
N/A,n/a
Name,Nome
"Overview of Tax Rates","Panoramica delle aliquote fiscali"
"Overview of Tax Sets","Panoramica dei set di tasse"
Percentage,Percentuale
Save,Salva
"Select country.","Seleziona paese."
"Tax rate %d was created successfully.","L'aliquota fiscale %d è stata creata con successo."
"Tax rate %d was deleted successfully.","L'aliquota fiscale %d è stata eliminata con successo."
"Tax rate %d was updated successfully.","L'aliquota fiscale %d è stata aggiornata con successo."
"Tax Rate deletion confirmation","L'aliquota fiscale è stata eliminata con successo"
"Tax rate details","Dettagli dell'aliquota fiscale"
"Tax rate ID","ID dell'aliquota fiscale"
"Tax rate with id %s doesn't exist","L'aliquota fiscale con ID %s non esiste"
"Tax rate with provided name, percentage and country already exists.","L'aliquota fiscale con nome, percentuale e paese forniti esiste già."
"Tax rates","Aliquote fiscali"
"Tax Rates","Aliquote fiscali"
"Tax set %d was created successfully.","Il set di tasse %d è stato creato con successo."
"Tax set %d was updated successfully.","Il set di tasse %d è stato aggiornato con successo."
"Tax Set deletion confirmation","Sei sicuro di voler eliminare questo set di tasse?"
"Tax set details","Dettagli del set di tasse"
"Tax set ID","ID del set di tasse"
"Tax set is not created. Please fill-in all required fields.","Il set di tasse non è stato creato. Si prega di compilare tutti i campi obbligatori."
"Tax set with id %s doesn't exist","Il set di tasse con ID %s non esiste"
"Tax Set with name ""%name%"" already exists.","Il set di tasse con nome ""%name%"" esiste già."
"Tax Sets","Set di tasse"
Taxes,Tasse
"The tax set has been deleted","Il set di tasse è stato eliminato"
"Updated at","Aggiornato alle"
"View Tax Rate:","Visualizza aliquota fiscale:"
"View Tax Set:","Visualizza set di tasse:"
"You should choose one or more tax rates","Dovresti scegliere una o più aliquote fiscali"
"No country","Nessun paese"
"Edit Tax Rate","Modifica aliquota fiscale"
"Edit Tax Set","Modifica set di tasse"
